Year,Team,Dbacks,LineBackers,Dline,PassCatchers,Oline,QB,RB,Special,Dead,IR,Prac,Susp,Wins,Playoff Wins,SuperBowl Win
2006,falcons,4.58,11.11,9.53,5.35,7.28,10.32,7.85,0.34,2.09,0.19,0.0,0.0,7,0,0
2007,falcons,8.39,15.19,7.13,7.8,7.74,11.7,9.84,1.06,3.8,2.96,0.35,6.95,4,0,0
2008,falcons,9.37,17.99,5.38,10.54,9.66,21.89,7.07,3.48,8.79,1.02,0.29,12.56,11,0,0
2009,falcons,7.48,12.11,11.56,19.86,11.39,16.71,7.14,5.54,15.22,4.7,0.22,0.0,9,0,0
2010,falcons,13.51,14.24,13.5,19.25,11.27,12.68,9.93,5.63,3.32,0.0,0.23,0.0,13,1,0
2011,falcons,14.36,18.6,10.63,19.66,13.94,13.69,10.87,2.62,3.24,4.2,0.31,0.0,10,0,0
2012,falcons,22.83,11.79,14.18,18.63,15.21,11.64,7.97,2.92,6.68,13.29,0.24,0.0,13,2,0
2013,falcons,18.36,13.91,13.23,20.07,14.73,7.99,6.41,3.25,13.8,12.24,0.08,0.0,4,0,0
2014,falcons,9.56,11.61,11.89,14.16,19.55,13.69,5.14,3.79,0.45,12.84,0.24,0.0,6,0,0
2015,falcons,10.56,5.87,15.56,19.65,19.43,14.08,2.36,4.88,15.32,9.61,0.0,0.0,8,0,0
2016,falcons,11.05,5.99,16.94,20.27,20.22,16.14,1.4,4.26,16.36,9.55,0.01,0.0,11,3,0
2017,falcons,13.8,3.09,22.94,19.21,15.69,16.26,3.66,3.98,5.01,6.24,0.0,0.0,10,1,0
2018,falcons,20.38,2.64,15.26,15.79,22.5,12.55,4.16,3.76,5.13,12.96,0.0,0.0,7,0,0
2019,falcons,15.61,4.57,22.15,13.76,21.88,9.49,5.0,4.22,9.83,17.16,0.08,0.29,7,0,0
2005,ravens,17.74,14.56,2.96,7.72,1.79,2.9,10.91,0.79,0.18,0.67,0.02,0.0,6,0,0
2006,ravens,18.34,15.98,4.53,10.97,3.51,5.71,4.33,0.29,0.31,0.65,0.0,0.0,13,1,0
2007,ravens,19.05,22.83,2.63,12.94,4.2,7.17,3.85,0.35,0.28,9.76,0.07,0.0,5,0,0
2008,ravens,19.05,26.33,2.73,11.37,5.74,6.4,3.74,0.61,2.76,0.17,0.64,0.0,11,2,0
2009,ravens,19.99,16.94,4.06,15.61,9.56,14.36,4.18,1.94,10.71,2.84,0.42,0.0,9,1,0
2010,ravens,19.59,20.91,7.29,15.79,14.36,6.42,6.33,3.4,0.27,6.33,0.33,0.0,12,1,0
2011,ravens,20.18,22.38,10.18,12.34,15.9,4.86,4.31,3.53,3.14,6.98,0.56,0.0,12,2,0
2012,ravens,24.52,23.78,12.61,12.21,12.07,7.04,8.68,3.09,9.61,13.72,0.38,0.0,10,4,1
2013,ravens,11.57,18.71,14.99,9.74,15.26,5.95,5.22,3.02,0.02,1.78,0.31,0.0,8,0,0
2014,ravens,15.33,15.2,17.28,9.61,14.93,11.86,6.33,3.43,11.27,10.15,0.36,0.0,10,1,0
2015,ravens,16.03,14.83,5.66,11.7,14.72,11.68,1.94,3.73,0.74,34.63,0.0,0.25,5,0,0
2016,ravens,21.46,16.97,5.24,14.91,13.77,15.57,4.02,4.87,9.85,12.75,0.0,0.0,8,0,0
2017,ravens,19.86,12.36,5.5,15.38,19.4,16.31,3.86,4.44,13.42,10.22,0.0,4.84,9,0,0
2018,ravens,22.98,13.39,5.7,9.62,11.96,15.27,1.81,5.4,0.72,2.22,0.0,0.0,10,0,0
2019,ravens,35.97,5.98,11.62,12.85,13.5,10.76,2.63,5.26,16.14,10.73,0.03,0.0,14,1,0
2005,bills,10.73,11.32,5.53,9.94,11.17,8.01,2.35,4.22,5.35,0.44,0.0,0.0,5,0,0
2006,bills,20.29,12.01,7.58,6.29,12.83,3.41,1.78,4.03,13.53,0.0,0.16,0.0,7,0,0
2007,bills,10.27,3.24,16.29,4.73,10.79,4.18,4.46,5.56,3.85,2.52,0.42,0.0,7,0,0
2008,bills,10.32,5.59,22.5,16.06,13.87,3.88,2.31,3.47,3.93,10.85,0.48,0.0,7,0,0
2009,bills,14.77,4.4,22.35,14.96,14.01,3.09,3.38,2.82,6.85,4.0,0.43,0.0,6,0,0
2010,bills,17.45,12.13,24.88,12.64,10.0,3.3,4.51,3.12,9.67,1.25,0.29,0.0,4,0,0
2011,bills,13.75,12.46,18.87,10.16,5.63,5.85,6.59,2.96,8.25,18.48,0.0,0.0,6,0,0
2012,bills,13.89,7.32,30.21,12.7,9.87,7.84,6.21,3.06,0.45,25.57,0.0,0.0,6,0,0
2013,bills,12.95,4.03,22.4,10.42,10.83,3.67,5.73,1.75,0.1,2.23,0.29,0.0,6,0,0
2014,bills,13.19,8.79,24.39,6.84,12.75,4.07,7.55,2.58,0.61,5.64,0.65,0.0,9,0,0
2015,bills,15.39,5.98,29.21,12.84,9.66,2.54,5.29,2.92,0.27,21.94,0.0,0.0,8,0,0
2016,bills,18.7,3.91,20.37,13.27,12.24,6.55,6.53,2.69,0.92,11.22,1.03,0.19,7,0,0
2017,bills,11.47,4.84,21.36,14.23,21.73,6.61,7.08,2.95,17.29,12.39,0.0,0.0,9,0,0
2018,bills,9.18,4.6,17.17,6.98,7.1,2.64,6.68,2.39,0.0,2.77,0.0,0.0,6,0,0
2019,bills,10.64,5.69,23.87,17.69,16.33,4.5,4.14,3.21,8.4,2.53,0.0,0.0,10,0,0
2005,panthers,1.54,4.93,10.4,7.2,4.78,7.18,0.81,2.64,2.7,0.67,0.09,0.0,11,2,0
2006,panthers,3.18,3.75,16.6,8.45,6.51,5.35,1.6,2.45,0.72,0.25,0.08,0.0,8,0,0
2007,panthers,3.48,5.61,16.52,9.83,5.66,10.86,1.5,2.9,3.32,1.06,0.21,0.0,7,0,0
2008,panthers,6.82,8.63,18.88,11.84,16.52,12.29,3.6,3.16,6.92,0.32,0.32,0.0,12,1,0
2009,panthers,10.65,11.22,21.69,12.26,12.76,9.13,4.9,3.14,1.42,2.78,0.14,0.0,8,0,0
2010,panthers,11.61,11.97,10.46,12.52,15.59,16.01,5.01,3.7,19.97,0.0,0.0,0.0,2,0,0
2011,panthers,12.39,13.88,13.5,16.7,25.45,4.46,8.88,4.5,2.73,1.44,0.0,0.0,6,0,0
2012,panthers,16.35,15.58,17.5,13.62,21.47,5.31,11.17,3.09,5.08,25.62,0.0,0.0,7,0,0
2013,panthers,11.23,15.26,14.32,13.09,14.61,5.91,7.37,3.23,14.6,15.25,0.06,0.0,12,1,0
2014,panthers,4.78,6.7,23.84,10.14,12.1,6.3,8.04,2.4,0.41,9.46,3.34,0.0,7,1,0
2015,panthers,9.2,11.99,21.11,14.92,14.57,10.33,9.6,3.23,10.29,5.89,0.04,0.0,15,3,0
2016,panthers,7.04,11.36,13.4,11.21,16.51,14.11,8.57,5.0,8.34,17.12,0.0,0.0,6,0,0
2017,panthers,8.29,15.5,20.14,14.65,14.87,12.8,6.31,4.49,6.75,4.93,0.0,5.59,11,0,0
2018,panthers,12.06,9.92,23.92,13.32,20.69,12.32,5.5,3.45,6.93,18.58,0.0,0.0,7,0,0
2019,panthers,10.89,20.94,17.88,11.02,14.79,12.68,3.31,3.45,7.55,26.76,0.06,0.0,5,0,0
2005,bears,2.59,7.85,13.47,6.72,0.58,2.53,6.08,0.21,0.18,0.21,0.0,0.0,11,1,0
2006,bears,2.62,7.67,11.2,9.28,3.14,2.04,6.27,0.34,2.91,0.0,0.0,0.0,13,3,0
2007,bears,9.1,13.66,14.19,7.58,1.81,3.2,4.74,0.4,1.48,3.0,0.0,0.0,7,0,0
2008,bears,15.21,11.3,16.1,8.84,4.77,4.33,4.13,2.26,6.45,4.5,0.0,0.0,9,0,0
2009,bears,11.94,15.12,19.41,7.38,12.09,10.26,4.95,2.36,4.02,6.68,0.0,0.0,7,0,0
2010,bears,15.7,16.19,22.71,14.07,5.93,8.68,7.13,2.26,5.88,0.19,0.0,0.0,11,2,0
2011,bears,13.27,15.63,14.34,11.71,12.51,7.81,3.49,4.76,5.49,0.0,0.0,0.0,8,0,0
2012,bears,11.95,17.89,17.01,20.2,9.96,11.31,8.22,4.71,1.09,8.95,0.0,0.0,10,0,0
2013,bears,15.47,11.17,22.52,17.48,8.97,8.75,7.82,4.89,4.77,14.63,0.03,0.0,8,0,0
2014,bears,13.29,15.68,12.99,16.83,13.4,14.57,8.21,3.42,13.74,23.38,0.3,0.0,5,0,0
2015,bears,10.81,15.08,3.5,13.83,12.05,11.49,7.82,2.96,2.07,13.49,0.0,0.0,6,0,0
2016,bears,8.49,22.48,6.96,17.54,15.76,12.87,1.34,1.12,0.29,39.34,0.0,0.0,3,0,0
2017,bears,15.19,19.27,9.44,15.7,18.65,13.3,1.68,2.58,7.59,25.15,0.0,0.0,5,0,0
2018,bears,12.13,18.05,11.32,22.46,13.99,5.73,1.48,3.21,0.21,6.35,0.0,0.0,12,0,0
2019,bears,20.28,18.14,9.76,22.39,10.41,7.33,1.91,3.6,5.36,16.12,0.0,0.0,8,0,0
2005,bengals,4.2,7.83,7.31,11.69,7.79,9.94,8.7,1.52,1.62,0.65,0.18,0.0,11,0,0
2006,bengals,9.51,7.65,7.57,13.94,12.92,13.32,5.43,1.75,1.33,0.58,0.24,0.0,8,0,0
2007,bengals,9.18,5.54,16.18,11.79,12.17,13.48,6.24,1.43,1.63,0.83,0.17,0.0,7,0,0
2008,bengals,6.24,4.57,11.71,16.24,18.13,13.14,3.27,1.14,3.64,1.4,0.13,0.0,4,0,0
2009,bengals,7.57,6.92,13.82,20.69,17.41,12.01,5.25,2.62,11.59,6.69,0.21,0.0,10,0,0
2010,bengals,11.8,7.89,17.06,19.43,12.54,10.92,3.93,1.18,2.25,8.05,0.11,0.0,4,0,0
2011,bengals,19.22,10.01,13.88,10.17,19.09,2.18,3.79,1.37,3.31,2.5,0.21,0.0,9,0,0
2012,bengals,25.5,7.05,16.94,8.36,19.72,2.64,3.61,4.5,0.16,14.0,0.57,0.0,10,0,0
2013,bengals,16.25,5.91,29.14,10.08,15.76,2.04,4.27,4.18,0.0,18.91,0.31,0.0,11,0,0
2014,bengals,17.41,10.3,22.18,13.4,15.29,7.76,3.0,3.17,3.57,7.07,0.49,0.0,10,0,0
2015,bengals,16.78,14.44,17.53,14.99,17.21,6.84,2.67,3.69,3.13,3.26,0.0,0.0,12,0,0
2016,bengals,19.06,9.37,18.92,13.36,16.51,8.73,4.66,2.52,0.44,18.67,0.0,0.0,6,0,0
2017,bengals,19.18,10.49,14.96,18.13,10.04,9.72,4.38,2.88,0.67,16.36,0.0,0.0,7,0,0
2018,bengals,15.53,10.0,19.7,16.53,14.09,9.07,3.24,2.51,0.0,31.26,0.0,0.0,6,0,0
2019,bengals,15.49,2.35,16.17,20.67,16.93,8.86,3.96,2.9,1.63,18.18,0.0,0.0,2,0,0
2005,browns,2.63,2.79,12.32,8.31,5.24,9.33,2.12,1.24,12.15,0.0,0.09,0.0,6,0,0
2006,browns,3.87,11.72,7.96,13.33,6.17,2.86,2.13,2.28,6.04,0.0,0.0,0.0,4,0,0
2007,browns,3.86,11.1,7.9,10.9,11.81,3.97,7.9,2.6,7.76,2.74,0.0,0.0,10,0,0
2008,browns,6.99,10.88,8.32,14.9,25.67,4.71,7.79,2.71,1.14,5.98,0.26,0.0,4,0,0
2009,browns,7.0,4.66,15.37,11.11,19.78,8.58,6.07,2.72,4.51,5.51,0.21,0.0,5,0,0
2010,browns,12.37,12.03,13.4,8.64,23.08,9.78,0.94,2.31,10.09,0.0,0.2,0.0,5,0,0
2011,browns,16.28,11.77,4.72,12.32,25.11,3.13,2.97,3.6,4.23,1.74,0.14,0.0,4,0,0
2012,browns,22.6,17.23,17.82,12.53,20.21,3.74,6.47,4.59,5.83,14.55,0.0,0.0,5,0,0
2013,browns,9.72,15.74,14.64,5.44,17.73,3.03,1.58,1.74,0.32,2.92,7.89,0.0,4,0,0
2014,browns,15.73,16.38,11.65,10.24,19.71,4.58,6.36,1.23,13.02,11.9,0.34,0.0,7,0,0
2015,browns,21.8,14.47,9.41,11.55,16.74,4.4,1.03,1.81,0.51,17.48,0.0,0.35,3,0,0
2016,browns,14.86,4.58,6.28,6.5,11.83,6.34,1.64,1.54,1.6,4.98,0.0,0.92,1,0,0
2017,browns,5.11,10.29,6.22,3.75,19.87,1.03,2.04,2.35,0.02,14.75,0.23,0.0,0,0,0
2018,browns,13.0,9.66,7.84,14.2,16.25,10.95,3.24,1.6,10.94,5.76,0.0,0.04,7,0,0
2019,browns,16.63,7.41,17.19,18.79,18.28,4.86,2.71,0.78,13.16,7.01,0.0,2.92,6,0,0
2005,cowboys,9.26,8.41,4.24,7.92,10.76,3.76,1.36,0.89,3.67,0.0,0.0,0.0,9,0,0
2006,cowboys,9.42,9.93,3.67,12.83,12.48,6.86,1.48,0.84,3.76,3.53,0.12,0.0,9,0,0
2007,cowboys,10.99,12.29,4.71,18.34,15.58,10.56,2.09,1.7,1.19,0.0,0.14,0.0,13,1,0
2008,cowboys,14.92,13.27,6.46,15.82,12.54,6.39,3.73,2.14,0.69,7.97,0.16,0.0,9,0,0
2009,cowboys,15.61,17.24,7.89,21.66,14.47,4.77,2.63,2.73,14.08,0.35,0.14,0.0,11,1,0
2010,cowboys,21.83,20.48,11.4,31.51,24.28,13.0,8.6,2.75,17.43,2.49,0.22,0.0,6,0,0
2011,cowboys,14.82,13.05,8.47,15.72,12.32,7.44,1.95,3.38,10.11,0.0,0.07,0.0,8,0,0
2012,cowboys,14.42,19.77,13.29,15.57,12.55,8.26,2.83,2.34,9.12,0.42,0.0,0.0,8,0,0
2013,cowboys,17.94,25.24,8.79,11.31,17.78,11.52,1.88,1.75,13.55,23.05,0.01,0.0,8,0,0
2014,cowboys,18.67,8.43,6.97,11.67,15.99,9.22,2.11,2.5,0.36,10.27,0.0,0.0,12,1,0
2015,cowboys,19.79,8.8,8.95,13.31,11.79,11.46,2.2,3.1,1.77,24.11,0.0,0.0,4,0,0
2016,cowboys,18.37,9.42,8.95,18.34,13.18,15.16,5.64,3.71,1.1,2.98,0.0,1.56,13,1,0
2017,cowboys,11.03,9.28,15.31,25.42,15.58,7.96,5.52,4.12,15.75,10.87,0.04,0.15,9,0,0
2018,cowboys,8.39,10.46,21.2,16.71,24.05,5.99,4.35,2.0,17.59,10.97,0.0,0.0,10,1,0
2019,cowboys,8.5,8.54,20.27,14.89,26.28,1.38,3.49,1.6,0.33,11.14,0.0,0.08,8,0,0
2005,broncos,10.67,2.05,4.09,8.76,3.46,4.11,1.42,2.36,2.78,0.0,0.09,0.0,13,2,0
2006,broncos,17.13,1.88,5.6,16.46,4.07,8.73,1.64,3.35,3.45,0.0,0.0,0.0,9,0,0
2007,broncos,9.92,2.2,6.9,11.95,2.96,10.84,5.03,4.1,15.11,4.44,0.0,0.0,7,0,0
2008,broncos,13.49,5.54,9.21,16.23,4.59,4.74,2.98,1.27,15.12,4.36,0.16,0.0,8,0,0
2009,broncos,17.68,9.13,9.41,17.05,4.99,5.03,3.57,1.83,7.57,0.0,0.04,0.0,8,0,0
2010,broncos,25.4,9.39,11.75,20.36,7.34,4.34,10.62,1.59,5.51,0.0,0.17,0.0,4,0,0
2011,broncos,16.0,21.16,12.86,7.75,8.01,1.92,4.51,2.66,8.91,0.0,0.0,0.0,8,1,0
2012,broncos,22.86,28.67,10.09,9.74,13.44,16.39,6.28,2.74,6.7,9.76,0.0,0.0,13,1,0
2013,broncos,17.14,14.79,8.54,12.47,19.63,13.38,3.96,4.58,8.41,17.55,0.03,0.0,13,2,0
2014,broncos,18.05,15.2,7.61,17.4,20.34,13.67,3.05,3.86,7.06,3.23,0.5,0.0,12,1,0
2015,broncos,16.79,16.35,6.79,20.99,17.84,12.78,1.68,3.01,4.09,2.85,0.0,0.0,12,4,1
2016,broncos,22.26,19.06,9.81,20.68,11.33,4.55,5.56,1.98,9.82,12.54,0.0,0.0,9,0,0
2017,broncos,19.96,19.12,10.73,17.73,14.11,2.33,3.63,1.99,0.28,17.12,0.0,0.0,5,0,0
2018,broncos,17.4,18.57,10.57,9.29,14.6,8.34,1.04,2.41,0.34,20.96,0.0,0.0,6,0,0
2019,broncos,17.56,20.61,10.0,6.2,13.46,3.49,2.45,2.85,0.21,19.8,0.0,3.08,7,0,0
2005,lions,4.47,1.56,25.64,12.52,6.64,12.65,1.17,3.16,0.18,0.0,0.0,0.0,5,0,0
2006,lions,2.02,6.67,9.59,10.45,9.19,12.56,1.61,2.87,10.01,0.0,0.16,0.0,3,0,0
2007,lions,6.44,6.69,10.18,28.67,9.83,4.54,3.81,3.59,13.39,9.21,0.0,0.0,7,0,0
2008,lions,9.3,5.69,6.87,11.62,11.83,5.41,4.41,3.83,6.35,2.55,0.0,0.0,0,0,0
2009,lions,13.0,11.55,11.23,17.3,16.61,9.27,2.57,3.55,16.51,1.58,0.14,0.0,2,0,0
2010,lions,6.37,10.66,13.11,23.48,24.52,13.03,3.43,4.06,5.11,0.19,0.0,0.0,6,0,0
2011,lions,9.93,7.48,22.45,24.9,19.39,7.43,6.39,4.18,0.89,0.47,0.0,0.0,10,0,0
2012,lions,14.64,8.68,27.13,22.42,20.34,9.61,3.21,3.99,0.59,15.98,0.0,0.0,4,0,0
2013,lions,8.84,9.84,22.57,20.66,11.8,17.59,4.21,1.38,12.09,10.64,0.06,0.0,7,0,0
2014,lions,7.1,9.84,29.55,18.1,9.25,12.88,4.6,1.18,0.54,7.29,0.28,0.0,11,0,0
2015,lions,12.73,9.5,24.16,23.46,7.8,12.95,6.35,1.92,14.69,10.33,0.0,0.0,7,0,0
2016,lions,13.85,10.45,12.08,24.86,11.42,15.01,3.57,3.45,15.66,5.68,0.0,0.0,9,0,0
2017,lions,18.13,9.55,18.39,15.06,15.02,10.25,3.3,5.85,6.43,11.86,0.0,0.0,9,0,0
2018,lions,16.62,10.81,17.94,11.87,15.42,15.13,4.91,3.78,13.56,22.74,0.0,0.0,6,0,0
2019,lions,18.42,7.97,13.05,12.64,15.42,16.45,3.21,3.34,7.75,34.93,0.02,0.0,3,0,0
2005,packers,17.22,5.69,6.51,9.25,4.92,13.2,7.12,2.75,5.15,0.17,0.18,0.0,4,0,0
2006,packers,11.91,4.51,16.28,10.0,10.85,14.08,3.43,0.76,7.93,0.3,0.0,0.0,8,0,0
2007,packers,8.6,11.22,13.02,8.54,9.97,12.3,2.02,0.76,3.22,0.4,0.14,0.0,13,2,0
2008,packers,8.06,15.28,13.07,9.57,10.22,13.99,4.62,0.8,3.0,3.33,0.16,0.0,6,0,0
2009,packers,14.17,19.73,16.52,15.35,12.8,9.69,5.63,0.7,1.32,0.25,0.35,0.0,11,0,0
2010,packers,28.81,19.42,16.05,16.84,13.75,6.2,6.76,1.93,1.42,6.5,0.07,0.0,10,4,1
2011,packers,20.22,14.63,8.43,17.35,15.19,7.02,4.51,2.69,2.46,0.0,0.16,0.0,15,1,0
2012,packers,22.64,15.99,12.18,19.14,13.77,7.51,2.65,3.37,3.88,9.42,0.08,0.0,11,1,0
2013,packers,14.85,15.59,13.62,16.41,14.0,9.71,2.07,3.24,2.35,12.77,0.01,0.0,8,0,0
2014,packers,19.09,21.48,10.21,8.75,14.53,13.58,2.21,3.86,3.81,3.03,0.47,0.0,12,2,0
2015,packers,15.95,16.62,16.08,10.52,13.99,13.16,2.68,3.89,3.53,7.42,0.02,0.0,10,1,0
2016,packers,16.87,13.64,16.9,14.96,13.67,12.28,3.14,2.37,2.83,9.25,0.0,0.0,10,2,0
2017,packers,13.44,16.35,9.71,22.08,16.63,12.26,1.81,3.45,6.86,23.3,0.0,0.0,7,0,0
2018,packers,7.28,15.19,10.7,20.56,18.39,12.19,0.88,3.48,0.04,20.18,0.0,0.0,6,0,0
2019,packers,11.85,11.62,4.61,16.32,23.41,15.35,1.11,3.08,0.23,4.55,0.0,0.0,13,2,0
2005,texans,3.62,2.52,2.17,4.63,5.9,8.87,0.49,0.0,0.61,0.0,0.0,0.0,2,0,0
2006,texans,3.16,3.08,5.34,14.0,3.79,8.75,0.88,0.0,0.1,0.0,0.17,0.0,6,0,0
2007,texans,5.52,3.73,6.69,10.66,4.98,9.17,5.28,0.0,10.92,0.5,0.0,0.0,8,0,0
2008,texans,10.7,3.26,9.13,11.17,8.02,6.56,4.99,0.0,1.81,1.63,0.0,0.0,8,0,0
2009,texans,13.01,5.65,13.04,14.13,10.46,11.17,3.32,0.0,3.75,3.11,0.07,0.0,9,0,0
2010,texans,9.82,14.23,23.37,18.48,13.62,8.82,2.41,2.21,1.68,0.84,0.22,0.0,6,0,0
2011,texans,17.67,6.4,25.75,18.0,15.67,10.24,2.87,2.47,3.54,2.57,0.08,0.0,10,1,0
2012,texans,16.32,14.83,17.34,15.75,16.61,11.39,8.19,2.31,13.74,7.21,0.15,0.0,12,1,0
2013,texans,21.35,8.62,13.49,19.65,14.94,9.33,8.01,1.97,5.38,31.31,0.07,0.0,2,0,0
2014,texans,15.34,11.04,7.27,18.04,17.39,3.65,6.91,2.6,0.47,8.96,0.33,0.0,9,0,0
2015,texans,19.09,14.55,14.02,8.0,15.53,4.28,7.36,2.4,0.42,14.88,0.0,0.0,9,0,0
2016,texans,16.2,18.04,15.08,5.3,19.65,9.17,5.0,2.43,0.06,17.87,0.02,0.0,9,1,0
2017,texans,18.3,14.03,10.83,19.32,11.64,2.2,5.38,1.98,1.74,25.07,0.0,0.0,4,0,0
2018,texans,23.11,17.82,10.91,17.05,13.8,2.45,4.93,1.4,8.23,8.66,0.0,0.0,11,0,0
2019,texans,18.84,16.54,12.1,14.88,15.75,3.73,6.15,2.35,12.71,11.62,0.0,0.0,10,1,0
2005,colts,3.38,4.91,2.11,18.8,4.3,8.56,16.84,0.02,8.51,0.0,0.0,0.0,14,1,0
2006,colts,4.36,13.57,5.9,19.55,5.71,8.77,3.93,1.99,0.39,0.65,0.08,0.0,12,4,1
2007,colts,6.81,14.27,3.71,23.78,8.45,10.74,2.51,2.25,6.28,1.66,0.21,0.0,13,1,0
2008,colts,12.91,17.42,6.59,22.92,8.6,19.08,2.08,2.03,6.36,1.63,0.16,0.0,12,0,0
2009,colts,19.14,19.22,1.85,20.57,9.98,20.21,2.62,2.45,5.64,8.41,0.07,0.0,14,3,0
2010,colts,24.98,21.87,5.93,18.31,9.55,16.85,5.05,3.0,2.94,12.38,0.22,0.0,10,0,0
2011,colts,12.48,23.32,6.93,19.17,8.33,16.14,7.13,2.55,2.39,2.88,0.08,0.0,2,0,0
2012,colts,18.46,26.99,8.05,13.5,9.26,13.46,6.68,4.07,29.96,8.26,0.0,0.0,11,0,0
2013,colts,18.02,16.65,10.24,12.07,18.51,6.79,5.65,5.46,0.64,0.09,14.77,0.0,11,1,0
2014,colts,17.81,17.5,14.49,11.24,12.33,7.33,2.99,4.33,6.03,0.37,9.92,0.0,11,2,0
2015,colts,20.83,21.64,10.82,11.79,12.65,7.4,4.11,4.75,9.28,13.73,0.0,0.0,8,0,0
2016,colts,13.65,14.96,6.39,15.95,13.14,12.39,3.51,4.2,0.0,10.27,0.15,2.77,8,0,0
2017,colts,6.73,12.75,9.79,14.58,11.59,12.61,3.84,1.85,0.0,22.02,0.0,0.0,4,0,0
2018,colts,6.61,3.24,13.18,18.63,14.57,13.31,2.09,2.16,6.56,7.8,0.0,0.0,10,1,0
2019,colts,13.7,2.34,16.01,19.54,12.49,13.15,1.6,3.6,10.25,12.29,0.01,0.0,7,0,0
2005,jaguars,10.98,5.73,12.19,4.31,4.26,3.79,4.82,1.16,0.53,0.0,0.0,0.0,12,0,0
2006,jaguars,16.88,5.67,13.81,5.27,7.98,7.8,5.86,1.16,0.19,2.14,0.08,0.0,8,0,0
2007,jaguars,9.03,12.03,11.83,6.75,10.58,3.07,6.7,2.96,2.71,3.04,0.0,0.0,11,1,0
2008,jaguars,18.02,9.81,10.39,10.67,11.26,14.48,5.62,2.08,5.17,12.08,0.08,0.0,5,0,0
2009,jaguars,12.61,4.89,14.26,10.47,13.56,9.03,5.51,2.63,8.72,3.46,0.14,0.0,7,0,0
2010,jaguars,8.96,8.06,11.84,6.0,15.2,10.0,6.71,3.69,5.84,0.63,0.15,0.0,8,0,0
2011,jaguars,10.25,7.85,11.44,7.58,9.92,2.94,5.45,2.18,2.43,1.98,0.18,0.0,5,0,0
2012,jaguars,17.07,13.53,20.35,18.7,15.88,5.01,8.08,3.01,8.75,20.49,0.14,0.0,2,0,0
2013,jaguars,4.25,9.34,9.51,9.67,9.95,5.8,6.18,2.99,0.53,9.56,2.23,0.0,4,0,0
2014,jaguars,6.84,13.45,22.07,13.01,13.91,7.57,3.84,3.6,14.32,10.7,0.35,1.89,3,0,0
2015,jaguars,8.89,8.12,23.77,14.25,14.9,4.9,3.68,2.25,5.64,9.97,0.0,1.31,5,0,0
2016,jaguars,12.76,5.9,21.28,13.57,12.12,5.71,3.29,1.76,0.23,18.5,0.0,0.0,3,0,0
2017,jaguars,15.47,6.39,22.66,12.21,12.32,4.95,6.85,1.99,5.49,3.96,0.0,0.0,10,2,0
2018,jaguars,21.37,6.14,28.14,12.4,13.74,5.42,7.79,1.39,10.11,18.05,0.0,0.0,5,0,0
2019,jaguars,19.0,6.44,20.98,10.95,16.18,14.24,5.25,1.61,18.01,15.7,0.01,0.0,6,0,0
2005,chiefs,1.38,3.05,6.64,7.09,10.73,1.38,7.15,0.82,2.34,0.0,0.0,0.0,10,0,0
2006,chiefs,3.13,3.83,5.64,7.12,6.27,0.58,4.07,0.9,0.97,0.0,0.0,0.0,9,0,0
