Year,Team,Dbacks,Front7,Fantasy,Oline,Special,Dead,IR,Prac,Susp,Wins,Playoff Wins,SuperBowl Win
2012,bills,13.89,37.53,27.62,9.87,3.06,0.45,25.57,0.0,0.0,6,0,0
2013,bills,12.95,26.43,20.35,10.83,1.75,0.1,2.23,0.29,0.0,6,0,0
2014,bills,13.19,33.18,18.46,12.75,2.58,0.61,5.64,0.65,0.0,9,0,0
2015,bills,15.39,35.19,21.87,9.66,2.92,0.27,21.94,0.0,0.0,8,0,0
2016,bills,18.7,24.28,26.88,12.24,2.69,0.92,11.22,1.03,0.19,7,0,0
2017,bills,11.47,26.2,30.24,21.73,2.95,17.29,12.39,0.0,0.0,9,0,0
2018,bills,9.18,21.77,17.39,7.1,2.39,0.0,2.77,0.0,0.0,6,0,0
2019,bills,10.64,29.56,27.4,16.33,3.21,8.4,2.53,0.0,0.0,10,0,0
2005,panthers,1.54,15.33,15.19,4.78,2.64,2.7,0.67,0.09,0.0,11,2,0
2006,panthers,3.18,20.35,15.4,6.51,2.45,0.72,0.25,0.08,0.0,8,0,0
2007,panthers,3.48,22.13,22.19,5.66,2.9,3.32,1.06,0.21,0.0,7,0,0
2008,panthers,6.82,27.51,27.73,16.52,3.16,6.92,0.32,0.32,0.0,12,1,0
2009,panthers,10.65,32.91,26.63,12.76,3.14,1.42,2.78,0.14,0.0,8,0,0
2010,panthers,11.61,22.42,33.97,15.59,3.7,19.97,0.0,0.0,0.0,2,0,0
2011,panthers,12.39,27.38,30.82,25.45,4.5,2.73,1.44,0.0,0.0,6,0,0
2012,panthers,16.35,33.08,31.21,21.47,3.09,5.08,25.62,0.0,0.0,7,0,0
2013,panthers,11.23,29.58,28.19,14.61,3.23,14.6,15.25,0.06,0.0,12,1,0
2014,panthers,4.78,30.54,26.9,12.1,2.4,0.41,9.46,3.34,0.0,7,1,0
2015,panthers,9.2,33.1,37.14,14.57,3.23,10.29,5.89,0.04,0.0,15,3,0
2016,panthers,7.04,24.76,34.82,16.51,5.0,8.34,17.12,0.0,0.0,6,0,0
2017,panthers,8.29,35.64,34.21,14.87,4.49,6.75,4.93,0.0,5.59,11,0,0
2018,panthers,12.06,33.84,31.52,20.69,3.45,6.93,18.58,0.0,0.0,7,0,0
2019,panthers,10.89,38.82,27.35,14.79,3.45,7.55,26.76,0.06,0.0,5,0,0
2005,bears,2.59,21.32,15.33,0.58,0.21,0.18,0.21,0.0,0.0,11,1,0
2006,bears,2.62,18.87,17.59,3.14,0.34,2.91,0.0,0.0,0.0,13,3,0
2007,bears,9.1,27.85,15.52,1.81,0.4,1.48,3.0,0.0,0.0,7,0,0
2008,bears,15.21,27.4,17.3,4.77,2.26,6.45,4.5,0.0,0.0,9,0,0
2009,bears,11.94,34.53,22.59,12.09,2.36,4.02,6.68,0.0,0.0,7,0,0
2010,bears,15.7,38.9,30.15,5.93,2.26,5.88,0.19,0.0,0.0,11,2,0
2011,bears,13.27,29.97,23.57,12.51,4.76,5.49,0.0,0.0,0.0,8,0,0
2012,bears,11.95,34.9,40.47,9.96,4.71,1.09,8.95,0.0,0.0,10,0,0
2013,bears,15.47,33.69,34.77,8.97,4.89,4.77,14.63,0.03,0.0,8,0,0
2014,bears,13.29,28.67,40.02,13.4,3.42,13.74,23.38,0.3,0.0,5,0,0
2015,bears,10.81,18.58,33.14,12.05,2.96,2.07,13.49,0.0,0.0,6,0,0
2016,bears,8.49,29.44,31.75,15.76,1.12,0.29,39.34,0.0,0.0,3,0,0
2017,bears,15.19,28.71,31.04,18.65,2.58,7.59,25.15,0.0,0.0,5,0,0
2018,bears,12.13,29.37,30.05,13.99,3.21,0.21,6.35,0.0,0.0,12,0,0
2019,bears,20.28,27.9,31.63,10.41,3.6,5.36,16.12,0.0,0.0,8,0,0
2005,bengals,4.2,15.14,30.33,7.79,1.52,1.62,0.65,0.18,0.0,11,0,0
2006,bengals,9.51,15.22,32.69,12.92,1.75,1.33,0.58,0.24,0.0,8,0,0
2007,bengals,9.18,21.72,31.51,12.17,1.43,1.63,0.83,0.17,0.0,7,0,0
2008,bengals,6.24,16.28,32.65,18.13,1.14,3.64,1.4,0.13,0.0,4,0,0
2009,bengals,7.57,20.74,38.76,17.41,2.62,11.59,6.69,0.21,0.0,10,0,0
2010,bengals,11.8,24.95,34.4,12.54,1.18,2.25,8.05,0.11,0.0,4,0,0
2011,bengals,19.22,23.89,16.6,19.09,1.37,3.31,2.5,0.21,0.0,9,0,0
2012,bengals,25.5,23.99,16.31,19.72,4.5,0.16,14.0,0.57,0.0,10,0,0
2013,bengals,16.25,35.05,16.82,15.76,4.18,0.0,18.91,0.31,0.0,11,0,0
2014,bengals,17.41,32.48,24.54,15.29,3.17,3.57,7.07,0.49,0.0,10,0,0
2015,bengals,16.78,31.97,24.91,17.21,3.69,3.13,3.26,0.0,0.0,12,0,0
2016,bengals,19.06,28.29,27.35,16.51,2.52,0.44,18.67,0.0,0.0,6,0,0
2017,bengals,19.18,25.45,33.55,10.04,2.88,0.67,16.36,0.0,0.0,7,0,0
2018,bengals,15.53,29.7,28.84,14.09,2.51,0.0,31.26,0.0,0.0,6,0,0
2019,bengals,15.49,18.52,33.49,16.93,2.9,1.63,18.18,0.0,0.0,2,0,0
2005,browns,2.63,15.11,20.03,5.24,1.24,12.15,0.0,0.09,0.0,6,0,0
2006,browns,3.87,19.68,18.61,6.17,2.28,6.04,0.0,0.0,0.0,4,0,0
2007,browns,3.86,19.0,23.12,11.81,2.6,7.76,2.74,0.0,0.0,10,0,0
2008,browns,6.99,19.2,27.8,25.67,2.71,1.14,5.98,0.26,0.0,4,0,0
2009,browns,7.0,20.03,26.21,19.78,2.72,4.51,5.51,0.21,0.0,5,0,0
2010,browns,12.37,25.43,20.83,23.08,2.31,10.09,0.0,0.2,0.0,5,0,0
2011,browns,16.28,16.49,18.79,25.11,3.6,4.23,1.74,0.14,0.0,4,0,0
2012,browns,22.6,35.05,23.21,20.21,4.59,5.83,14.55,0.0,0.0,5,0,0
2013,browns,9.72,30.38,10.05,17.73,1.74,0.32,2.92,7.89,0.0,4,0,0
2014,browns,15.73,28.03,21.53,19.71,1.23,13.02,11.9,0.34,0.0,7,0,0
2015,browns,21.8,23.88,17.25,16.74,1.81,0.51,17.48,0.0,0.35,3,0,0
2016,browns,14.86,10.86,14.66,11.83,1.54,1.6,4.98,0.0,0.92,1,0,0
2017,browns,5.11,16.51,7.08,19.87,2.35,0.02,14.75,0.23,0.0,0,0,0
2018,browns,13.0,17.5,28.73,16.25,1.6,10.94,5.76,0.0,0.04,7,0,0
2019,browns,16.63,24.6,26.46,18.28,0.78,13.16,7.01,0.0,2.92,6,0,0
2005,cowboys,9.26,12.65,13.04,10.76,0.89,3.67,0.0,0.0,0.0,9,0,0
2006,cowboys,9.42,13.6,21.17,12.48,0.84,3.76,3.53,0.12,0.0,9,0,0
2007,cowboys,10.99,17.0,30.99,15.58,1.7,1.19,0.0,0.14,0.0,13,1,0
2008,cowboys,14.92,19.73,25.94,12.54,2.14,0.69,7.97,0.16,0.0,9,0,0
2009,cowboys,15.61,25.13,29.06,14.47,2.73,14.08,0.35,0.14,0.0,11,1,0
2010,cowboys,21.83,31.89,53.11,24.28,2.75,17.43,2.49,0.22,0.0,6,0,0
2011,cowboys,14.82,21.52,25.11,12.32,3.38,10.11,0.0,0.07,0.0,8,0,0
2012,cowboys,14.42,33.06,27.41,12.55,2.34,9.12,0.42,0.0,0.0,8,0,0
2013,cowboys,17.94,34.03,24.9,17.78,1.75,13.55,23.05,0.01,0.0,8,0,0
2014,cowboys,18.67,15.4,23.57,15.99,2.5,0.36,10.27,0.0,0.0,12,1,0
2015,cowboys,19.79,17.75,27.36,11.79,3.1,1.77,24.11,0.0,0.0,4,0,0
2016,cowboys,18.37,18.37,39.52,13.18,3.71,1.1,2.98,0.0,1.56,13,1,0
2017,cowboys,11.03,24.59,39.31,15.58,4.12,15.75,10.87,0.04,0.15,9,0,0
2018,cowboys,8.39,31.66,27.94,24.05,2.0,17.59,10.97,0.0,0.0,10,1,0
2019,cowboys,8.5,28.81,20.61,26.28,1.6,0.33,11.14,0.0,0.08,8,0,0
2005,broncos,10.67,6.14,14.39,3.46,2.36,2.78,0.0,0.09,0.0,13,2,0
2006,broncos,17.13,7.48,26.84,4.07,3.35,3.45,0.0,0.0,0.0,9,0,0
2007,broncos,9.92,9.1,27.82,2.96,4.1,15.11,4.44,0.0,0.0,7,0,0
2008,broncos,13.49,14.75,23.95,4.59,1.27,15.12,4.36,0.16,0.0,8,0,0
2009,broncos,17.68,18.54,25.65,4.99,1.83,7.57,0.0,0.04,0.0,8,0,0
2010,broncos,25.4,21.13,35.33,7.34,1.59,5.51,0.0,0.17,0.0,4,0,0
2011,broncos,16.0,34.02,14.18,8.01,2.66,8.91,0.0,0.0,0.0,8,1,0
2012,broncos,22.86,38.76,32.41,13.44,2.74,6.7,9.76,0.0,0.0,13,1,0
2013,broncos,17.14,23.33,29.81,19.63,4.58,8.41,17.55,0.03,0.0,13,2,0
2014,broncos,18.05,22.81,34.12,20.34,3.86,7.06,3.23,0.5,0.0,12,1,0
2015,broncos,16.79,23.14,35.9,17.84,3.01,4.09,2.85,0.0,0.0,12,4,1
2016,broncos,22.26,28.87,31.09,11.33,1.98,9.82,12.54,0.0,0.0,9,0,0
2017,broncos,19.96,29.85,24.04,14.11,1.99,0.28,17.12,0.0,0.0,5,0,0
2018,broncos,17.4,29.14,19.03,14.6,2.41,0.34,20.96,0.0,0.0,6,0,0
2019,broncos,17.56,30.61,12.7,13.46,2.85,0.21,19.8,0.0,3.08,7,0,0
2005,lions,4.47,27.2,26.34,6.64,3.16,0.18,0.0,0.0,0.0,5,0,0
2006,lions,2.02,16.26,24.62,9.19,2.87,10.01,0.0,0.16,0.0,3,0,0
2007,lions,6.44,16.87,37.02,9.83,3.59,13.39,9.21,0.0,0.0,7,0,0
2008,lions,9.3,12.56,21.73,11.83,3.83,6.35,2.55,0.0,0.0,0,0,0
2009,lions,13.0,22.78,29.49,16.61,3.55,16.51,1.58,0.14,0.0,2,0,0
2010,lions,6.37,23.77,40.36,24.52,4.06,5.11,0.19,0.0,0.0,6,0,0
2011,lions,9.93,29.93,38.72,19.39,4.18,0.89,0.47,0.0,0.0,10,0,0
2012,lions,14.64,35.81,35.24,20.34,3.99,0.59,15.98,0.0,0.0,4,0,0
2013,lions,8.84,32.41,43.26,11.8,1.38,12.09,10.64,0.06,0.0,7,0,0
2014,lions,7.1,39.39,36.12,9.25,1.18,0.54,7.29,0.28,0.0,11,0,0
2015,lions,12.73,33.66,43.09,7.8,1.92,14.69,10.33,0.0,0.0,7,0,0
2016,lions,13.85,22.53,43.89,11.42,3.45,15.66,5.68,0.0,0.0,9,0,0
2017,lions,18.13,27.94,28.66,15.02,5.85,6.43,11.86,0.0,0.0,9,0,0
2018,lions,16.62,28.75,32.12,15.42,3.78,13.56,22.74,0.0,0.0,6,0,0
2019,lions,18.42,21.02,32.54,15.42,3.34,7.75,34.93,0.02,0.0,3,0,0
2005,packers,17.22,12.2,30.03,4.92,2.75,5.15,0.17,0.18,0.0,4,0,0
2006,packers,11.91,20.79,27.74,10.85,0.76,7.93,0.3,0.0,0.0,8,0,0
2007,packers,8.6,24.24,23.19,9.97,0.76,3.22,0.4,0.14,0.0,13,2,0
2008,packers,8.06,28.35,28.56,10.22,0.8,3.0,3.33,0.16,0.0,6,0,0
2009,packers,14.17,36.25,31.78,12.8,0.7,1.32,0.25,0.35,0.0,11,0,0
2010,packers,28.81,35.47,31.19,13.75,1.93,1.42,6.5,0.07,0.0,10,4,1
2011,packers,20.22,23.06,30.99,15.19,2.69,2.46,0.0,0.16,0.0,15,1,0
2012,packers,22.64,28.17,31.29,13.77,3.37,3.88,9.42,0.08,0.0,11,1,0
2013,packers,14.85,29.21,30.16,14.0,3.24,2.35,12.77,0.01,0.0,8,0,0
2014,packers,19.09,31.69,25.28,14.53,3.86,3.81,3.03,0.47,0.0,12,2,0
2015,packers,15.95,32.7,27.08,13.99,3.89,3.53,7.42,0.02,0.0,10,1,0
2016,packers,16.87,30.54,30.87,13.67,2.37,2.83,9.25,0.0,0.0,10,2,0
2017,packers,13.44,26.06,36.64,16.63,3.45,6.86,23.3,0.0,0.0,7,0,0
2018,packers,7.28,25.89,33.73,18.39,3.48,0.04,20.18,0.0,0.0,6,0,0
2019,packers,11.85,16.23,33.36,23.41,3.08,0.23,4.55,0.0,0.0,13,2,0
2005,texans,3.62,4.69,13.99,5.9,0.0,0.61,0.0,0.0,0.0,2,0,0
2006,texans,3.16,8.42,24.05,3.79,0.0,0.1,0.0,0.17,0.0,6,0,0
2007,texans,5.52,10.42,26.07,4.98,0.0,10.92,0.5,0.0,0.0,8,0,0
2008,texans,10.7,12.39,22.72,8.02,0.0,1.81,1.63,0.0,0.0,8,0,0
2009,texans,13.01,18.69,31.84,10.46,0.0,3.75,3.11,0.07,0.0,9,0,0
2010,texans,9.82,37.6,32.07,13.62,2.21,1.68,0.84,0.22,0.0,6,0,0
2011,texans,17.67,32.15,31.58,15.67,2.47,3.54,2.57,0.08,0.0,10,1,0
2012,texans,16.32,32.17,36.48,16.61,2.31,13.74,7.21,0.15,0.0,12,1,0
2013,texans,21.35,22.11,37.78,14.94,1.97,5.38,31.31,0.07,0.0,2,0,0
2014,texans,15.34,18.31,28.93,17.39,2.6,0.47,8.96,0.33,0.0,9,0,0
2015,texans,19.09,28.57,20.0,15.53,2.4,0.42,14.88,0.0,0.0,9,0,0
2016,texans,16.2,33.12,19.86,19.65,2.43,0.06,17.87,0.02,0.0,9,1,0
2017,texans,18.3,24.86,27.89,11.64,1.98,1.74,25.07,0.0,0.0,4,0,0
2018,texans,23.11,28.73,24.96,13.8,1.4,8.23,8.66,0.0,0.0,11,0,0
2019,texans,18.84,28.64,25.0,15.75,2.35,12.71,11.62,0.0,0.0,10,1,0
2005,colts,3.38,7.02,44.2,4.3,0.02,8.51,0.0,0.0,0.0,14,1,0
2006,colts,4.36,19.47,32.74,5.71,1.99,0.39,0.65,0.08,0.0,12,4,1
2007,colts,6.81,17.98,37.44,8.45,2.25,6.28,1.66,0.21,0.0,13,1,0
2008,colts,12.91,24.01,44.08,8.6,2.03,6.36,1.63,0.16,0.0,12,0,0
2009,colts,19.14,21.07,43.4,9.98,2.45,5.64,8.41,0.07,0.0,14,3,0
2010,colts,24.98,27.8,40.21,9.55,3.0,2.94,12.38,0.22,0.0,10,0,0
2011,colts,12.48,30.25,42.73,8.33,2.55,2.39,2.88,0.08,0.0,2,0,0
2012,colts,18.46,35.04,33.96,9.26,4.07,29.96,8.26,0.0,0.0,11,0,0
2013,colts,18.02,26.89,25.24,18.51,5.46,0.64,0.09,14.77,0.0,11,1,0
2014,colts,17.81,31.99,21.56,12.33,4.33,6.03,0.37,9.92,0.0,11,2,0
2015,colts,20.83,32.46,23.3,12.65,4.75,9.28,13.73,0.0,0.0,8,0,0
2016,colts,13.65,21.35,31.85,13.14,4.2,0.0,10.27,0.15,2.77,8,0,0
2017,colts,6.73,22.54,31.03,11.59,1.85,0.0,22.02,0.0,0.0,4,0,0
2018,colts,6.61,16.42,34.52,14.57,2.16,6.56,7.8,0.0,0.0,10,1,0
2019,colts,13.7,18.35,34.29,12.49,3.6,10.25,12.29,0.01,0.0,7,0,0
2005,jaguars,10.98,17.92,13.57,4.26,1.16,0.53,0.0,0.0,0.0,12,0,0
2006,jaguars,16.88,19.48,19.86,7.98,1.16,0.19,2.14,0.08,0.0,8,0,0
2007,jaguars,9.03,23.86,17.5,10.58,2.96,2.71,3.04,0.0,0.0,11,1,0
2008,jaguars,18.02,20.2,33.62,11.26,2.08,5.17,12.08,0.08,0.0,5,0,0
2009,jaguars,12.61,19.15,28.74,13.56,2.63,8.72,3.46,0.14,0.0,7,0,0
2010,jaguars,8.96,19.9,27.43,15.2,3.69,5.84,0.63,0.15,0.0,8,0,0
2011,jaguars,10.25,19.29,19.66,9.92,2.18,2.43,1.98,0.18,0.0,5,0,0
2012,jaguars,17.07,33.88,37.52,15.88,3.01,8.75,20.49,0.14,0.0,2,0,0
2013,jaguars,4.25,18.85,21.98,9.95,2.99,0.53,9.56,2.23,0.0,4,0,0
2014,jaguars,6.84,35.52,25.24,13.91,3.6,14.32,10.7,0.35,1.89,3,0,0
2015,jaguars,8.89,31.89,22.83,14.9,2.25,5.64,9.97,0.0,1.31,5,0,0
2016,jaguars,12.76,27.18,22.57,12.12,1.76,0.23,18.5,0.0,0.0,3,0,0
2017,jaguars,15.47,29.05,24.42,12.32,1.99,5.49,3.96,0.0,0.0,10,2,0
2018,jaguars,21.37,34.28,26.04,13.74,1.39,10.11,18.05,0.0,0.0,5,0,0
2019,jaguars,19.0,27.42,30.44,16.18,1.61,18.01,15.7,0.01,0.0,6,0,0
2005,chiefs,1.38,9.69,15.62,10.73,0.82,2.34,0.0,0.0,0.0,10,0,0
2006,chiefs,3.13,9.47,11.77,6.27,0.9,0.97,0.0,0.0,0.0,9,0,0
2007,chiefs,2.56,15.89,19.31,7.58,0.57,7.4,4.2,0.14,0.0,4,0,0
2008,chiefs,3.83,17.45,19.04,12.2,2.08,3.9,0.76,0.39,0.0,2,0,0
2009,chiefs,3.82,19.48,29.32,6.64,1.69,14.14,1.16,0.07,0.0,4,0,0
2010,chiefs,6.52,27.83,29.07,10.64,2.18,5.78,0.55,0.07,0.0,10,0,0
2011,chiefs,12.28,23.81,26.97,6.25,2.5,0.38,0.52,0.14,0.0,7,0,0
2012,chiefs,26.98,40.51,35.94,11.71,4.56,5.02,20.81,0.0,0.0,2,0,0
2013,chiefs,19.07,26.34,21.7,15.21,2.82,0.14,1.82,0.07,0.0,11,0,0
2014,chiefs,17.35,28.6,33.08,9.06,3.58,0.31,10.96,8.64,0.0,9,0,0
2015,chiefs,16.68,22.55,27.9,11.27,3.25,0.65,8.9,0.65,0.0,11,1,0
2016,chiefs,13.54,32.55,32.91,13.66,3.81,8.91,14.12,0.0,0.0,12,1,0
2017,chiefs,12.46,35.0,23.24,14.97,4.6,0.3,10.35,0.0,0.0,10,0,0
2018,chiefs,17.59,31.63,27.5,19.93,1.72,12.66,5.59,0.0,0.0,12,2,0
2019,chiefs,12.18,17.44,28.76,15.43,2.86,0.26,5.19,0.0,0.0,12,4,1
2005,raiders,6.65,11.1,16.17,6.43,2.68,8.98,0.0,0.0,0.0,4,0,0
2006,raiders,7.07,13.0,19.08,9.93,3.56,7.73,0.0,0.08,0.0,2,0,0
2007,raiders,10.57,14.33,20.18,13.43,3.85,5.66,5.9,0.0,0.0,4,0,0
2008,raiders,19.15,14.21,24.25,11.95,4.59,10.32,2.44,0.08,0.0,5,0,0
2009,raiders,19.08,23.02,25.04,13.78,5.19,8.29,6.73,0.14,0.33,5,0,0
2010,raiders,20.76,31.43,42.02,9.31,7.1,34.12,1.02,0.0,0.0,8,0,0
2011,raiders,11.73,27.01,35.34,7.63,7.29,0.08,0.23,3.1,0.0,8,0,0
2012,raiders,21.77,31.51,25.57,7.84,9.17,17.72,11.04,0.0,0.0,4,0,0
2013,raiders,13.73,34.76,32.76,8.62,5.2,43.32,7.16,0.26,0.0,4,0,0
2014,raiders,23.67,24.93,26.55,16.26,3.6,13.6,21.44,0.3,0.0,3,0,0
2015,raiders,17.29,28.31,19.86,20.58,4.21,10.94,15.15,0.0,1.98,7,0,0
2016,raiders,19.66,26.72,22.74,22.41,6.05,5.43,4.98,0.0,2.38,12,0,0
2017,raiders,19.67,14.93,30.08,25.6,4.09,2.52,8.99,0.0,0.0,6,0,0
2018,raiders,11.88,13.17,35.01,19.14,1.88,0.42,18.32,0.0,0.0,4,0,0
2019,raiders,17.15,17.6,31.47,22.68,0.92,12.15,14.72,0.05,0.9,7,0,0
2005,chargers,6.22,4.93,34.75,1.76,1.65,2.13,0.0,0.09,0.0,9,0,0
2006,chargers,11.54,5.99,25.02,8.24,2.6,2.02,0.0,0.0,0.0,14,1,0
2007,chargers,13.2,11.89,28.8,11.55,3.41,0.39,0.0,0.0,0.0,11,2,0
2008,chargers,11.45,23.19,29.47,11.72,2.5,1.81,1.04,0.0,0.0,8,1,0
2009,chargers,10.35,23.37,36.87,11.32,2.61,1.0,0.41,0.0,0.0,13,1,0
2010,chargers,9.0,26.82,38.71,12.16,3.14,4.3,2.59,0.17,0.0,9,0,0
2011,chargers,11.59,23.12,39.75,23.64,2.98,1.78,7.58,0.16,0.0,8,0,0
2012,chargers,16.9,24.42,39.52,19.72,3.89,8.22,17.93,0.0,0.0,7,0,0
2013,chargers,13.31,21.61,41.25,16.34,4.56,9.89,11.18,0.17,0.0,9,1,0
2014,chargers,14.23,18.77,34.46,14.79,4.94,0.44,14.05,2.44,0.07,9,0,0
2015,chargers,17.44,21.87,40.7,14.26,4.23,11.86,22.67,0.0,0.0,4,0,0
2016,chargers,16.18,24.33,32.65,16.23,1.22,0.01,25.08,0.43,0.28,5,0,0
2017,chargers,9.26,27.12,31.79,12.32,1.4,0.16,6.8,0.0,0.0,9,0,0
2018,chargers,16.44,25.06,34.23,20.71,2.14,8.53,9.69,0.0,0.0,12,1,0
2019,chargers,10.5,28.09,34.68,19.58,0.84,0.28,10.34,0.0,0.0,5,0,0
2005,rams,4.15,4.93,34.85,12.18,0.1,10.61,0.0,0.0,0.0,6,0,0
2006,rams,7.33,7.1,29.79,16.11,0.03,7.28,0.44,0.0,0.0,8,0,0
2007,rams,6.59,13.63,29.64,15.86,0.68,3.59,1.99,0.0,0.0,3,0,0
2008,rams,8.23,12.42,26.24,19.5,2.36,0.91,5.77,0.02,0.0,2,0,0
2009,rams,13.46,12.85,27.34,28.35,2.74,17.48,16.1,0.0,0.0,1,0,0
2010,rams,13.82,23.46,25.45,17.47,3.66,10.37,3.05,0.07,0.0,7,0,0
2011,rams,13.18,17.09,27.93,23.04,4.25,1.67,0.66,0.24,0.0,2,0,0
2012,rams,14.51,29.1,31.48,21.88,1.73,11.2,7.39,0.5,0.0,7,0,0
2013,rams,22.09,33.02,22.98,21.44,1.34,11.88,32.17,0.44,0.0,7,0,0
2014,rams,9.86,36.91,30.85,20.17,1.59,6.35,23.22,0.4,0.0,6,0,0
2015,rams,6.95,41.49,25.25,12.87,2.73,0.41,23.69,0.0,0.23,7,0,0
2016,rams,13.49,27.93,25.94,12.05,2.88,0.08,11.79,0.0,0.0,4,0,0
2017,rams,18.29,33.03,27.99,15.11,2.45,6.18,6.06,0.0,0.0,11,0,0
2018,rams,19.37,36.18,22.16,17.1,4.29,9.23,2.44,0.0,0.0,13,3,0
