Year,Team,Safeties,Corners,InsideBackers,Edge,InteriorDLine,WRs,TEs,InteriorOLine,Tackles,QB,RB,Special,Dead,IR,Prac,Susp,Wins,Playoff Wins,SuperBowl Win,Cluster,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,ExpWins,ExpPOWins,Error,POError
2015,cardinals,2.78,14.66,6.95,14.3,4.28,11.38,3.48,10.87,8.74,7.97,1.73,1.18,0.21,4.76,0.0,2.09,13,2,0,21,1.9439885630520428,1.9922136304371678,2.0120113338383456,1.9990802505531275,1.9594289295753982,2.011607085278194,2.0639408109346387,2.0370574141976046,1.9894794458098168,2.0015635258805586,2.0561097610466437,1.9644986540763103,1.954118729834585,2.065348142315773,2.0115598023158854,2.0372615972261596,2.078911634778409,1.9746724911194695,2.0000964314214906,2.030510202261392,1.968859547470633,1.9515839281417047,2.0705765147047868,1.9832339387200488,1.978226235254733,2.0165500771641387,1.9794387839110978,1.975269761172524,1.9743574042829397,1.9433940144953925,2.036583984006666,2.026773492181901,1.9709302496780026,2.0019040593155824,2.043376621289731,2.021315764244219,2.0047869304118704,1.8975339293184184,1.8742517510044747,1.9259097004541088,2.0473307588415137,1.9482427992144276,1.9055628960546938,2.070735424205502,1.995111386720946,2.0728019234413706,1.9881714305413731,2.057084968515273,2.0389624205493435,2.0476808687395947,7.905557333943218,0.42642102485163313,5.094442666056782,1.5735789751483669
2016,cardinals,7.45,10.6,4.67,19.49,3.86,16.21,3.92,7.99,5.62,13.28,3.26,1.63,8.6,17.38,0.05,1.95,7,0,0,13,1.9495679305570168,2.004836368531267,1.9793076378576302,1.9971695306589845,1.988104233808053,2.000558862611352,2.0607942639129533,2.0317644735486735,1.971015914149289,2.00659856154264,2.088934357362778,1.9644604390092986,1.9554730390997217,2.0656531154686215,2.0449638451894057,2.037147063316266,2.022536053296062,1.972008009111691,2.01609885849531,2.031055330009776,1.9909155529200055,1.946679876272969,2.0441174860899265,1.9964866113668747,1.995721192406152,1.986104860281462,2.010445306883883,1.9816683352769249,1.9825629166140601,1.9759417953220737,2.0549138782961363,2.0418187522753355,1.9517734797854605,1.9927006587086034,2.048813417250018,1.989498318867799,2.0187891993233937,1.9028307853259894,1.8929508762927298,1.9479410320605732,2.0178315016942676,1.9785437450428687,1.9328929347577641,2.0356820997406433,1.9850691198651695,2.0186669875593752,1.9964762357679644,2.058252118214723,1.9900141397552231,2.04584889844486,7.909570756614361,0.4276743600039595,0.9095707566143609,0.4276743600039595
2017,cardinals,9.13,12.01,5.99,9.61,5.76,12.79,3.63,8.66,8.5,17.13,2.5,2.77,4.35,33.29,0.08,0.0,8,0,0,13,1.950309920011406,1.994144317850578,1.9757532221922245,1.9919820838064686,1.993469166078506,2.007576340981636,2.0485674006429297,2.0414753617536308,2.007820285119718,2.003066237982935,2.0942269220095517,1.980505420333097,1.98099350752883,2.077934434310004,2.03499150763562,2.0064141675641793,2.0573814251231606,1.9555156597578542,1.9828181432046172,2.031339933807955,2.011576170764989,1.9406543022174143,2.056286059609375,1.9936135221362106,1.9489308068277065,1.9874813443105515,2.0191647375364274,1.9746090684461222,1.981148462020956,1.9838185452114385,2.0388130521523387,2.0384881894362663,1.9498880222545045,1.996994240664565,2.047884097214166,2.0117167747649134,2.0097439827646233,1.8878693547027185,1.8802760768652935,1.973274582907713,2.0132056000913536,1.9658343761578225,1.8934955615664821,2.0484385481641865,2.0106936037313132,2.049963001051421,1.972248956197146,2.0080546289190315,2.021748974506878,2.06779989911116,7.911080858842111,0.4277387912008229,0.08891914115788868,0.4277387912008229
2018,cardinals,10.6,10.44,1.22,19.04,3.96,12.59,4.86,6.86,6.32,12.89,3.52,4.03,22.49,13.84,0.0,0.0,3,0,0,3,1.9541768606737082,2.0091011184001593,1.965405871825768,2.0041415299558736,2.008533417457155,1.9879859775186273,2.0587084052033706,2.0362281580719706,1.9781572979959354,2.0124401295381285,2.0894101852346747,1.9638431618224068,1.9503863804799741,2.0579194012317386,2.054469497951906,2.022527170930146,1.989752839653204,1.9622928435536182,2.0223830788957087,2.031135471068132,2.003114596709342,1.9321099065643073,2.0252731267601374,2.0111446921408467,1.9996874416632437,1.9731971826608894,2.028645876515653,1.9827619227411342,1.974004256421872,1.9661262809367992,2.0474194799193697,2.038859800504648,1.9486141462783053,2.0029707650507573,2.0475400862926416,1.992322583808281,2.025315325656748,1.9029442105900494,1.8923936191602277,1.9586824497865338,1.9975503442397802,1.9848607998580328,1.936826830580578,2.0409342421898478,1.9875902261319098,2.0205098109721096,2.000382512754393,2.0510818079242377,2.0169290225174175,2.0512078552077018,7.910613365238757,0.4279853791369347,4.910613365238757,0.4279853791369347
2019,cardinals,2.46,8.98,5.87,12.02,2.94,8.79,1.88,8.45,9.15,4.29,6.21,1.9,0.07,11.5,0.26,0.0,5,0,0,2,1.9553604541457985,2.000611537877255,2.0296585753647416,1.9916823420619258,1.9606281928827634,2.0422638983733634,2.0553389523587136,2.032367309191007,1.9778994113612336,1.9685320788212894,2.046531584250556,1.954973713090861,1.9194470572371984,2.0750234227107844,2.00989385933335,2.049849527129148,2.044014007969504,1.9654750625591115,1.9964448372596724,2.0346508580187486,1.982715366037396,1.91913668767792,2.05622149681874,1.9909550106248273,1.9725433128514633,1.9869450804313535,1.9832023846514983,1.9791929533469796,1.9928739044953774,1.9208540979991733,2.037497132752699,2.039358258149185,1.9696669482686922,2.044982581928661,2.095139748139812,1.9964112430977503,2.026469189230292,1.8851859097147656,1.8512719377806963,1.9213001385181985,2.048314693663256,1.9339968355319057,1.9210903624140674,2.096136333036667,1.9812255780880486,2.086158670743306,1.9936830487877293,2.082892945758597,2.0511760987316845,2.0427553687322315,7.905355763488358,0.4261934532529967,2.905355763488358,0.4261934532529967
2005,falcons,0.53,2.72,7.19,8.63,1.3,4.71,0.0,2.37,4.84,9.25,6.01,0.27,0.21,0.0,0.09,0.0,8,0,0,28,1.931100982547615,2.0296678020341012,2.0086716518488514,1.952203890485003,1.9614132049048525,2.083834752208604,2.12540387175104,2.049722408632057,1.9352252213112653,1.9567051286130788,2.0576496668553936,1.9175983898266178,1.9410863702376915,2.1172014320138777,2.0849886891959857,2.034853521117523,2.0978400349704356,1.9629162543765684,2.010520800285188,2.0285892957508986,2.0168516395396487,1.8997394698288483,2.160815021187325,1.9766006787790076,1.957632880095491,1.9486045950566906,2.018628601232122,1.9584708771055892,2.0901948323827177,1.9676178367984112,2.0246877610559153,2.1106708891755055,1.9787939441964726,2.0263689470608712,2.110130313916374,1.9867395362326485,2.0719218349433524,1.826934661413478,1.8462768651104533,1.9252562925052636,2.066364889838005,1.8704111619305779,1.9233100926672668,2.003297487858456,2.0030161353705873,2.0484430969556815,1.9355727682402721,2.052299885299956,1.8598247559146075,2.0473288793417495,7.913536089221267,0.4276183664036319,0.08646391077873261,0.4276183664036319
2006,falcons,1.92,2.66,5.88,13.78,0.98,5.08,0.27,2.59,4.69,10.32,7.85,0.34,2.09,0.19,0.0,0.0,7,0,0,28,1.9397404452110703,2.047153386438921,1.9906890671506305,1.9671754831342714,1.9821936369245168,2.037189050353587,2.115883912241923,2.0372922611552213,1.9212667239690069,1.9726176833935718,2.053982712970346,1.923221439775995,1.9301951113376932,2.076063652357054,2.092971847947588,2.0382291543772912,2.0168224252135705,1.9672825973352588,2.0419984864019667,2.0229396886696978,2.0130043663687514,1.9078829782129905,2.0976245052500753,2.0000621598531785,2.007556953818247,1.9388229679887052,2.039850316649815,1.963996414406215,2.063323510747989,1.9610728126595354,2.0249039628523753,2.0930614202830498,1.9757405880264933,2.031282650554923,2.104538313238067,1.9750835713076211,2.069677552583457,1.8655556065450014,1.8794291406475883,1.9294307531850852,2.0336723072993936,1.9102020201871395,1.9798554221968956,1.9966875196676768,1.9797440687664591,2.0027391845627416,1.9736272517941453,2.0756651249734226,1.893034878529426,2.037962910484357,7.912719283004527,0.42789776594990986,0.9127192830045274,0.42789776594990986
2007,falcons,2.16,6.23,9.01,11.51,1.8,7.19,0.61,3.93,3.81,11.7,9.84,1.06,3.8,2.96,0.35,6.95,4,0,0,28,1.9284514482968962,2.028857489435426,2.0061603600235243,1.9708521600199682,1.9891918167482117,2.0363729520539153,2.09028218812945,2.038742431213645,1.9555114968421285,1.9736662694721598,2.0440126400749095,1.9394513415737578,1.9426387600489239,2.0780440394447846,2.056250327758628,2.0096596766363195,2.0705702186563193,1.975331713337824,1.9958813062098308,1.9969437852065495,2.014706561754805,1.9179208625323376,2.096734814124648,1.968901228910393,1.9654066791567382,1.9894754103185333,2.0371938452683978,1.9745517061158815,2.0516779068819315,1.960310931881524,2.0160381566629417,2.0916279246555316,1.9613825129023248,2.0164702116936595,2.088418446350502,1.9743477076935512,2.0619938431590388,1.8708555753340281,1.8766914929553598,1.9699918816085114,2.0480908729880936,1.9114753743469777,1.945904812750187,2.01441760295205,1.9902046959890174,2.033498743102119,1.9751365943624661,2.064654082116837,1.9410329527736365,2.044014147474798,7.9106914089597655,0.42728027110572714,3.9106914089597655,0.42728027110572714
2008,falcons,2.63,6.74,10.09,11.35,1.93,8.68,1.86,3.87,5.79,21.89,7.07,3.48,8.79,1.02,0.29,12.56,11,0,0,28,1.9488203675862348,2.0156455041890506,1.975315543876911,1.9782034491903324,1.991738857019838,2.0185356524885787,2.075031806029931,2.035617069188705,1.9813794902406379,2.0012289115519133,2.068955834182283,1.9485685589185713,1.9826073605499064,2.0706612343576385,2.049780755130043,1.9927796844620316,2.072451265347945,1.9638919772400314,1.9999946753068745,2.019933298356328,2.0106805090489783,1.9412598176806979,2.0917705006066023,1.9761299713032583,1.963940017889904,1.977757466466147,2.03953423665921,1.971068754944822,2.029450822353096,1.9931295386246703,2.021339372064364,2.0709134383822865,1.9632394881741047,1.9917440770258852,2.039900020292708,2.010433503942456,2.0477972076847997,1.8832239997505682,1.9042568957608523,1.99052151541798,2.0199158691758954,1.9233632697512444,1.9235799581245872,2.004675511876845,2.021303380480581,2.0407930902752907,1.9510687274346468,2.0029802006348034,1.949023365173356,2.0540641777855355,7.911505985957888,0.4276577166923864,3.088494014042112,0.4276577166923864
2009,falcons,3.44,4.04,4.8,12.18,6.69,14.04,5.82,4.86,6.53,16.71,7.14,5.54,15.22,4.7,0.22,0.0,9,0,0,36,1.9720336783535277,2.0047042050033137,1.9502700431699302,1.9812489944848288,1.9987942702330754,2.012518987109367,2.0437586146891538,2.0421740012468397,1.9934379033239362,2.002206169953275,2.107608589473499,1.9670303547995784,1.9670410248577668,2.0664437038790906,2.0380603030534328,2.0120677368047195,1.9948272948516772,1.9571805910832778,1.997883545222967,2.0398921972762363,1.990382145106994,1.9243042582569667,2.0309298627483803,1.9838350367069788,1.9820822185671965,1.9560960373593939,2.0333659154967227,1.982443560401908,1.998974929948054,2.011194714669804,2.0671093471523756,2.0736755806318317,1.9377085353351169,2.004126965866306,2.0415099273232022,1.984020371101916,2.071301804374885,1.9040132370933962,1.8857178827381478,2.009220271438455,1.9900229915287295,1.9413289254596893,1.9306508307031487,2.04084722400794,1.9988328516713012,2.013720739201392,1.9843219339778748,2.0034225081951287,2.0368703771822885,2.0387868068849695,7.912025999301932,0.4275455728835945,1.0879740006980683,0.4275455728835945
2010,falcons,3.87,9.65,5.17,16.64,5.94,11.08,8.17,5.63,5.64,12.68,9.93,5.63,3.32,0.0,0.23,0.0,13,1,0,36,1.9629721729448883,2.010336679858402,1.9693593976907755,1.9885847482844814,2.0106958093946643,1.9956640113210522,2.0527106149909757,2.043247715461834,1.9845715877806152,2.0098327079617153,2.0574584716355817,1.956334483292367,1.9446815251863492,2.043312320113723,2.034756115453888,2.0028340382536607,1.9934782311085961,1.968142560346588,2.003482662288491,2.015631977008084,1.9812121609186926,1.9215879366242326,2.0287324881522806,1.9844357735442182,2.0047770485198724,1.9904341944013069,2.0361650080696507,1.988304489125392,1.9932599348778814,1.9685519309835167,2.035050835093852,2.068115340326323,1.9480303500745397,2.0148873243948007,2.0349481527500477,1.9894721682072336,2.073719508771742,1.9203557705771657,1.8909469685731044,1.9935317430342432,2.001679710818439,1.9370093628961578,1.953982358992509,2.0427231137692567,1.9866998161638973,2.0236748478227327,2.0022427515634105,2.0395843252374415,2.073831758478751,2.0239649968605145,7.908962463803074,0.42698608148946454,5.091037536196926,0.5730139185105354
2011,falcons,3.79,10.57,6.31,17.3,5.62,11.19,8.47,6.84,7.1,13.69,10.87,2.62,3.24,4.2,0.31,0.0,10,0,0,31,1.964211650416239,2.0112238100485222,1.9816616628094605,1.9807055122877864,2.0020529613143236,2.000321532407943,2.053627384020816,2.0399061093265187,1.9760799026652027,2.005814253112539,2.048549022769984,1.9608689848275394,1.9500167472820538,2.045577715426145,2.03458167899183,2.0092164490909816,2.0118485478843855,1.9680043579327997,1.997582834888796,2.0178804215849078,1.9818311314007593,1.9320874026117423,2.0413370066308034,1.9889310380631353,2.0031112275868574,1.9950569600550072,2.030924861556699,1.9828212194371975,1.9996978876996352,1.9716418536548734,2.0249877493420465,2.064855268668732,1.9559058739600537,2.0198639652118273,2.044764248110614,1.9979047862192807,2.058497883720275,1.924958463031571,1.8952596452266748,1.9723060502945386,2.0116949208168333,1.9377568950269715,1.9582030405567465,2.0333171478411307,1.9843149846284749,2.017083441131092,1.9964774970256975,2.0395819352368694,2.05300756244085,2.0220865137242705,7.908866636919412,0.4270335668305282,2.091133363080588,0.4270335668305282
2012,falcons,4.03,18.8,3.36,16.28,6.33,12.36,6.27,5.75,9.46,11.64,7.97,2.92,6.68,13.29,0.24,0.0,13,2,0,7,1.9535963602744462,1.9938834453475578,1.9984356663223117,2.002736723984136,2.0002118904493114,2.000431526398095,2.0612044942156955,2.0498483018487264,1.9999910636227536,2.0122828058951647,2.034169104725826,1.9696790589282531,1.9446772433727304,2.0469548252901824,2.0110389965852224,2.010110454921419,2.031808518034738,1.9750314991149123,1.9986452259723373,2.0211714293470866,1.9766271657120627,1.9543812518996388,2.0231251668182333,1.9877504813843718,1.9821938248868218,2.0223553579865636,1.9938613886965124,1.9759681222456218,1.982938293259637,1.9618823724659804,2.028922842126988,2.0452014795936444,1.9684879801960073,2.0158606187721295,2.0180127807906216,2.022059962724058,2.03047313674562,1.9141172362505312,1.8921302561214444,1.980646296382391,1.9960669768511081,1.9519609448344548,1.9406084410896394,2.0424559602435814,1.9920807762997137,2.0576859408261523,2.0068572676401124,2.048401068499199,2.0561575711275593,2.014820402878648,7.905439942333995,0.4263674676803029,5.094560057666005,1.5736325323196971
2013,falcons,6.15,12.21,3.41,16.29,7.44,14.3,5.77,8.8,5.93,7.99,6.41,3.25,13.8,12.24,0.08,0.0,4,0,0,7,1.9525525053351107,2.000023537372876,1.9829796058014886,1.9991315133676093,1.9934546816032028,1.9975350497982023,2.0462215304968288,2.041719429964305,1.991007611087049,2.001172702295405,2.0714370689021546,1.9766619205014964,1.9436717326337338,2.0520414071213766,2.0231605255245735,2.027986684131767,2.00110312242268,1.9738233348701222,1.9998667025746957,2.019875340174638,1.9798226457955748,1.9327720001411082,2.0165535375770114,1.9894936515536403,1.9918181745511223,1.9977574239152003,2.0066519753420513,1.986648085709748,1.9723312356145335,1.9632103244380958,2.053349387341917,2.0438577547487013,1.9477734180360224,2.0114158145016217,2.0481785879392285,1.982476064777393,2.0352383477312914,1.9167131086128677,1.8787575604985185,1.9708567247241964,2.0106239213415447,1.968189415890568,1.9379524654438527,2.0666068703237084,1.9757853876501184,2.025235596421062,2.0212454036406142,2.059248121187202,2.0804241783766018,2.033586810195596,7.907735722713512,0.4268887310528258,3.907735722713512,0.4268887310528258
