Team,Year,Wins,Playoff Wins,SuperBowl Win
panthers,2005,11,2,0
patriots,2019,12,0,0
patriots,2018,11,4,1
patriots,2017,13,3,0
patriots,2016,14,4,1
patriots,2015,12,2,0
patriots,2014,12,4,1
patriots,2013,12,2,0
patriots,2012,12,2,0
patriots,2011,13,3,0
patriots,2010,14,1,0
patriots,2009,10,0,0
patriots,2008,11,0,0
patriots,2007,16,3,0
patriots,2006,12,2,0
patriots,2005,10,1,0
ravens,2019,14,1,0
ravens,2018,10,0,0
ravens,2017,9,0,0
ravens,2016,8,0,0
ravens,2015,5,0,0
ravens,2014,10,1,0
ravens,2013,8,0,0
ravens,2012,10,4,1
ravens,2011,12,2,0
ravens,2010,12,1,0
ravens,2009,9,1,0
ravens,2008,11,2,0
ravens,2007,5,0,0
ravens,2006,13,1,0
ravens,2005,6,0,0
rams,2019,9,0,0
rams,2018,13,3,0
rams,2017,11,0,0
rams,2016,4,0,0
rams,2015,7,0,0
rams,2014,6,0,0
rams,2013,7,0,0
rams,2012,7,0,0
rams,2011,2,0,0
rams,2010,7,0,0
rams,2009,1,0,0
rams,2008,2,0,0
rams,2007,3,0,0
rams,2006,8,0,0
rams,2005,6,0,0
raiders,2019,7,0,0
raiders,2018,4,0,0
raiders,2017,6,0,0
raiders,2016,12,0,0
raiders,2015,7,0,0
raiders,2014,3,0,0
raiders,2013,4,0,0
raiders,2012,4,0,0
raiders,2011,8,0,0
raiders,2010,8,0,0
raiders,2009,5,0,0
raiders,2008,5,0,0
raiders,2007,4,0,0
raiders,2006,2,0,0
raiders,2005,4,0,0
redskins,2019,3,0,0
redskins,2018,7,0,0
redskins,2017,7,0,0
redskins,2016,8,0,0
redskins,2015,9,0,0
redskins,2014,4,0,0
redskins,2013,3,0,0
redskins,2012,10,0,0
redskins,2011,5,0,0
redskins,2010,6,0,0
redskins,2009,4,0,0
redskins,2008,8,0,0
redskins,2007,9,0,0
redskins,2006,5,0,0
redskins,2005,10,1,0
saints,2019,13,0,0
saints,2018,13,2,0
saints,2017,11,1,0
saints,2016,7,0,0
saints,2015,7,0,0
saints,2014,7,0,0
saints,2013,11,1,0
saints,2012,7,0,0
saints,2011,13,1,0
saints,2010,11,0,0
saints,2009,13,4,1
saints,2008,8,0,0
saints,2007,7,0,0
saints,2006,10,2,0
saints,2005,3,0,0
seahawks,2019,11,1,0
seahawks,2018,10,0,0
seahawks,2017,9,0,0
seahawks,2016,10,1,0
seahawks,2015,10,1,0
seahawks,2014,12,3,0
seahawks,2013,13,2,0
seahawks,2012,11,1,0
seahawks,2011,7,0,0
seahawks,2010,7,1,0
seahawks,2009,5,0,0
seahawks,2008,4,0,0
seahawks,2007,10,1,0
seahawks,2006,9,1,0
seahawks,2005,13,3,0
steelers,2019,8,0,0
steelers,2018,9,0,0
steelers,2017,13,1,0
steelers,2016,11,2,0
steelers,2015,10,1,0
steelers,2014,11,0,0
steelers,2013,8,0,0
steelers,2012,8,0,0
steelers,2011,12,0,0
steelers,2010,12,3,0
steelers,2009,9,0,0
steelers,2008,12,4,1
steelers,2007,10,0,0
steelers,2006,8,0,0
steelers,2005,11,4,1
texans,2019,10,1,0
texans,2018,11,0,0
texans,2017,4,0,0
texans,2016,9,1,0
texans,2015,9,0,0
texans,2014,9,0,0
texans,2013,2,0,0
texans,2012,12,1,0
texans,2011,10,1,0
texans,2010,6,0,0
texans,2009,9,0,0
texans,2008,8,0,0
texans,2007,8,0,0
texans,2006,6,0,0
texans,2005,2,0,0
titans,2019,9,2,0
titans,2018,9,0,0
titans,2017,9,1,0
titans,2016,9,0,0
titans,2015,3,0,0
titans,2014,2,0,0
titans,2013,7,0,0
titans,2012,6,0,0
titans,2011,9,0,0
titans,2010,6,0,0
titans,2009,8,0,0
titans,2008,13,1,0
titans,2007,10,0,0
titans,2006,8,0,0
titans,2005,4,0,0
vikings,2019,10,1,0
vikings,2018,8,0,0
vikings,2017,13,2,0
vikings,2016,8,0,0
vikings,2015,11,0,0
vikings,2014,7,0,0
vikings,2013,5,0,0
vikings,2012,10,0,0
vikings,2011,3,0,0
vikings,2010,6,0,0
vikings,2009,12,2,0
vikings,2008,10,0,0
vikings,2007,8,0,0
vikings,2006,6,0,0
vikings,2005,9,0,0
