Year,Team,Off,Def,Special,Dead,IR,Prac,Susp,Wins,Playoff Wins,SuperBowl Win
2007,bengals,43.68,30.9,1.43,1.63,0.83,0.17,0.0,7,0,0
2008,bengals,50.78,22.52,1.14,3.64,1.4,0.13,0.0,4,0,0
2009,bengals,56.17,28.31,2.62,11.59,6.69,0.21,0.0,10,0,0
2010,bengals,46.94,36.74,1.18,2.25,8.05,0.11,0.0,4,0,0
2011,bengals,35.69,43.11,1.37,3.31,2.5,0.21,0.0,9,0,0
2012,bengals,36.03,49.49,4.5,0.16,14.0,0.57,0.0,10,0,0
2013,bengals,32.58,51.3,4.18,0.0,18.91,0.31,0.0,11,0,0
2014,bengals,39.83,49.89,3.17,3.57,7.07,0.49,0.0,10,0,0
2015,bengals,42.12,48.75,3.69,3.13,3.26,0.0,0.0,12,0,0
2016,bengals,43.86,47.35,2.52,0.44,18.67,0.0,0.0,6,0,0
2017,bengals,43.59,44.63,2.88,0.67,16.36,0.0,0.0,7,0,0
2018,bengals,42.93,45.23,2.51,0.0,31.26,0.0,0.0,6,0,0
2019,bengals,50.42,34.01,2.9,1.63,18.18,0.0,0.0,2,0,0
2005,browns,25.27,17.74,1.24,12.15,0.0,0.09,0.0,6,0,0
2006,browns,24.78,23.55,2.28,6.04,0.0,0.0,0.0,4,0,0
2007,browns,34.93,22.86,2.6,7.76,2.74,0.0,0.0,10,0,0
2008,browns,53.47,26.19,2.71,1.14,5.98,0.26,0.0,4,0,0
2009,browns,45.99,27.03,2.72,4.51,5.51,0.21,0.0,5,0,0
2010,browns,43.9,37.79,2.31,10.09,0.0,0.2,0.0,5,0,0
2011,browns,43.9,32.77,3.6,4.23,1.74,0.14,0.0,4,0,0
2012,browns,43.42,57.65,4.59,5.83,14.55,0.0,0.0,5,0,0
2013,browns,27.78,40.1,1.74,0.32,2.92,7.89,0.0,4,0,0
2014,browns,41.24,43.76,1.23,13.02,11.9,0.34,0.0,7,0,0
2015,browns,33.99,45.68,1.81,0.51,17.48,0.0,0.35,3,0,0
2016,browns,26.49,25.72,1.54,1.6,4.98,0.0,0.92,1,0,0
2017,browns,26.95,21.62,2.35,0.02,14.75,0.23,0.0,0,0,0
2018,browns,44.98,30.5,1.6,10.94,5.76,0.0,0.04,7,0,0
2019,browns,44.74,41.23,0.78,13.16,7.01,0.0,2.92,6,0,0
2005,cowboys,23.8,21.91,0.89,3.67,0.0,0.0,0.0,9,0,0
2006,cowboys,33.65,23.02,0.84,3.76,3.53,0.12,0.0,9,0,0
2007,cowboys,46.57,27.99,1.7,1.19,0.0,0.14,0.0,13,1,0
2008,cowboys,38.48,34.65,2.14,0.69,7.97,0.16,0.0,9,0,0
2009,cowboys,43.53,40.74,2.73,14.08,0.35,0.14,0.0,11,1,0
2010,cowboys,77.4,53.72,2.75,17.43,2.49,0.22,0.0,6,0,0
2011,cowboys,37.43,36.34,3.38,10.11,0.0,0.07,0.0,8,0,0
2012,cowboys,39.96,47.48,2.34,9.12,0.42,0.0,0.0,8,0,0
2013,cowboys,42.68,51.97,1.75,13.55,23.05,0.01,0.0,8,0,0
2014,cowboys,39.56,34.07,2.5,0.36,10.27,0.0,0.0,12,1,0
2015,cowboys,39.15,37.54,3.1,1.77,24.11,0.0,0.0,4,0,0
2016,cowboys,52.7,36.74,3.71,1.1,2.98,0.0,1.56,13,1,0
2017,cowboys,54.89,35.62,4.12,15.75,10.87,0.04,0.15,9,0,0
2018,cowboys,51.99,40.05,2.0,17.59,10.97,0.0,0.0,10,1,0
2019,cowboys,46.89,37.31,1.6,0.33,11.14,0.0,0.08,8,0,0
2005,broncos,17.85,16.81,2.36,2.78,0.0,0.09,0.0,13,2,0
2006,broncos,30.91,24.61,3.35,3.45,0.0,0.0,0.0,9,0,0
2007,broncos,30.78,19.02,4.1,15.11,4.44,0.0,0.0,7,0,0
2008,broncos,28.54,28.24,1.27,15.12,4.36,0.16,0.0,8,0,0
2009,broncos,30.64,36.22,1.83,7.57,0.0,0.04,0.0,8,0,0
2010,broncos,42.67,46.53,1.59,5.51,0.0,0.17,0.0,4,0,0
2011,broncos,22.19,50.02,2.66,8.91,0.0,0.0,0.0,8,1,0
2012,broncos,45.85,61.62,2.74,6.7,9.76,0.0,0.0,13,1,0
2013,broncos,49.44,40.47,4.58,8.41,17.55,0.03,0.0,13,2,0
2014,broncos,54.46,40.86,3.86,7.06,3.23,0.5,0.0,12,1,0
2015,broncos,53.74,39.93,3.01,4.09,2.85,0.0,0.0,12,4,1
2016,broncos,42.42,51.13,1.98,9.82,12.54,0.0,0.0,9,0,0
2017,broncos,38.15,49.81,1.99,0.28,17.12,0.0,0.0,5,0,0
2018,broncos,33.63,46.54,2.41,0.34,20.96,0.0,0.0,6,0,0
2019,broncos,26.16,48.17,2.85,0.21,19.8,0.0,3.08,7,0,0
2005,lions,32.98,31.67,3.16,0.18,0.0,0.0,0.0,5,0,0
2006,lions,33.81,18.28,2.87,10.01,0.0,0.16,0.0,3,0,0
2007,lions,46.85,23.31,3.59,13.39,9.21,0.0,0.0,7,0,0
2008,lions,33.56,21.86,3.83,6.35,2.55,0.0,0.0,0,0,0
2009,lions,46.1,35.78,3.55,16.51,1.58,0.14,0.0,2,0,0
2010,lions,64.89,30.14,4.06,5.11,0.19,0.0,0.0,6,0,0
2011,lions,58.11,39.86,4.18,0.89,0.47,0.0,0.0,10,0,0
2012,lions,55.58,50.45,3.99,0.59,15.98,0.0,0.0,4,0,0
2013,lions,55.06,41.25,1.38,12.09,10.64,0.06,0.0,7,0,0
2014,lions,45.37,46.49,1.18,0.54,7.29,0.28,0.0,11,0,0
2015,lions,50.89,46.39,1.92,14.69,10.33,0.0,0.0,7,0,0
2016,lions,55.31,36.38,3.45,15.66,5.68,0.0,0.0,9,0,0
2017,lions,43.68,46.07,5.85,6.43,11.86,0.0,0.0,9,0,0
2018,lions,47.54,45.37,3.78,13.56,22.74,0.0,0.0,6,0,0
2019,lions,47.96,39.44,3.34,7.75,34.93,0.02,0.0,3,0,0
2005,packers,34.95,29.42,2.75,5.15,0.17,0.18,0.0,4,0,0
2006,packers,38.59,32.7,0.76,7.93,0.3,0.0,0.0,8,0,0
2007,packers,33.16,32.84,0.76,3.22,0.4,0.14,0.0,13,2,0
2008,packers,38.78,36.41,0.8,3.0,3.33,0.16,0.0,6,0,0
2009,packers,44.58,50.42,0.7,1.32,0.25,0.35,0.0,11,0,0
2010,packers,44.94,64.28,1.93,1.42,6.5,0.07,0.0,10,4,1
2011,packers,46.18,43.28,2.69,2.46,0.0,0.16,0.0,15,1,0
2012,packers,45.06,50.81,3.37,3.88,9.42,0.08,0.0,11,1,0
2013,packers,44.16,44.06,3.24,2.35,12.77,0.01,0.0,8,0,0
2014,packers,39.81,50.78,3.86,3.81,3.03,0.47,0.0,12,2,0
2015,packers,41.07,48.65,3.89,3.53,7.42,0.02,0.0,10,1,0
2016,packers,44.54,47.41,2.37,2.83,9.25,0.0,0.0,10,2,0
2017,packers,53.27,39.5,3.45,6.86,23.3,0.0,0.0,7,0,0
2018,packers,52.12,33.17,3.48,0.04,20.18,0.0,0.0,6,0,0
2019,packers,56.77,28.08,3.08,0.23,4.55,0.0,0.0,13,2,0
2005,texans,19.89,8.31,0.0,0.61,0.0,0.0,0.0,2,0,0
2006,texans,27.84,11.58,0.0,0.1,0.0,0.17,0.0,6,0,0
2007,texans,31.05,15.94,0.0,10.92,0.5,0.0,0.0,8,0,0
2008,texans,30.74,23.09,0.0,1.81,1.63,0.0,0.0,8,0,0
2009,texans,42.3,31.7,0.0,3.75,3.11,0.07,0.0,9,0,0
2010,texans,45.69,47.42,2.21,1.68,0.84,0.22,0.0,6,0,0
2011,texans,47.25,49.82,2.47,3.54,2.57,0.08,0.0,10,1,0
2012,texans,53.09,48.49,2.31,13.74,7.21,0.15,0.0,12,1,0
2013,texans,52.72,43.46,1.97,5.38,31.31,0.07,0.0,2,0,0
2014,texans,46.32,33.65,2.6,0.47,8.96,0.33,0.0,9,0,0
2015,texans,35.53,47.66,2.4,0.42,14.88,0.0,0.0,9,0,0
2016,texans,39.51,49.32,2.43,0.06,17.87,0.02,0.0,9,1,0
2017,texans,39.53,43.16,1.98,1.74,25.07,0.0,0.0,4,0,0
2018,texans,38.76,51.84,1.4,8.23,8.66,0.0,0.0,11,0,0
2019,texans,40.75,47.48,2.35,12.71,11.62,0.0,0.0,10,1,0
2005,colts,48.5,10.4,0.02,8.51,0.0,0.0,0.0,14,1,0
2006,colts,38.45,23.83,1.99,0.39,0.65,0.08,0.0,12,4,1
2007,colts,45.89,24.79,2.25,6.28,1.66,0.21,0.0,13,1,0
2008,colts,52.68,36.92,2.03,6.36,1.63,0.16,0.0,12,0,0
2009,colts,53.38,40.21,2.45,5.64,8.41,0.07,0.0,14,3,0
2010,colts,49.76,52.78,3.0,2.94,12.38,0.22,0.0,10,0,0
2011,colts,51.06,42.73,2.55,2.39,2.88,0.08,0.0,2,0,0
2012,colts,43.22,53.5,4.07,29.96,8.26,0.0,0.0,11,0,0
2013,colts,43.75,44.91,5.46,0.64,0.09,14.77,0.0,11,1,0
2014,colts,33.89,49.8,4.33,6.03,0.37,9.92,0.0,11,2,0
2015,colts,35.95,53.29,4.75,9.28,13.73,0.0,0.0,8,0,0
2016,colts,44.99,35.0,4.2,0.0,10.27,0.15,2.77,8,0,0
2017,colts,42.62,29.27,1.85,0.0,22.02,0.0,0.0,4,0,0
2018,colts,49.09,23.03,2.16,6.56,7.8,0.0,0.0,10,1,0
2019,colts,46.78,32.05,3.6,10.25,12.29,0.01,0.0,7,0,0
2005,jaguars,17.83,28.9,1.16,0.53,0.0,0.0,0.0,12,0,0
2006,jaguars,27.84,36.36,1.16,0.19,2.14,0.08,0.0,8,0,0
2007,jaguars,28.08,32.89,2.96,2.71,3.04,0.0,0.0,11,1,0
2008,jaguars,44.88,38.22,2.08,5.17,12.08,0.08,0.0,5,0,0
2009,jaguars,42.3,31.76,2.63,8.72,3.46,0.14,0.0,7,0,0
2010,jaguars,42.63,28.85,3.69,5.84,0.63,0.15,0.0,8,0,0
2011,jaguars,29.58,29.54,2.18,2.43,1.98,0.18,0.0,5,0,0
2012,jaguars,53.4,50.95,3.01,8.75,20.49,0.14,0.0,2,0,0
2013,jaguars,31.93,23.1,2.99,0.53,9.56,2.23,0.0,4,0,0
2014,jaguars,39.15,42.36,3.6,14.32,10.7,0.35,1.89,3,0,0
2015,jaguars,37.73,40.78,2.25,5.64,9.97,0.0,1.31,5,0,0
2016,jaguars,34.69,39.94,1.76,0.23,18.5,0.0,0.0,3,0,0
2017,jaguars,36.74,44.52,1.99,5.49,3.96,0.0,0.0,10,2,0
2018,jaguars,39.78,55.65,1.39,10.11,18.05,0.0,0.0,5,0,0
2019,jaguars,46.62,46.42,1.61,18.01,15.7,0.01,0.0,6,0,0
2005,chiefs,26.35,11.07,0.82,2.34,0.0,0.0,0.0,10,0,0
2006,chiefs,18.04,12.6,0.9,0.97,0.0,0.0,0.0,9,0,0
2007,chiefs,26.89,18.45,0.57,7.4,4.2,0.14,0.0,4,0,0
2008,chiefs,31.24,21.28,2.08,3.9,0.76,0.39,0.0,2,0,0
2009,chiefs,35.96,23.3,1.69,14.14,1.16,0.07,0.0,4,0,0
2010,chiefs,39.71,34.35,2.18,5.78,0.55,0.07,0.0,10,0,0
2011,chiefs,33.22,36.09,2.5,0.38,0.52,0.14,0.0,7,0,0
2012,chiefs,47.65,67.49,4.56,5.02,20.81,0.0,0.0,2,0,0
2013,chiefs,36.91,45.41,2.82,0.14,1.82,0.07,0.0,11,0,0
2014,chiefs,42.14,45.95,3.58,0.31,10.96,8.64,0.0,9,0,0
2015,chiefs,39.17,39.23,3.25,0.65,8.9,0.65,0.0,11,1,0
2016,chiefs,46.57,46.09,3.81,8.91,14.12,0.0,0.0,12,1,0
2017,chiefs,38.21,47.46,4.6,0.3,10.35,0.0,0.0,10,0,0
2018,chiefs,47.43,49.22,1.72,12.66,5.59,0.0,0.0,12,2,0
2019,chiefs,44.19,29.62,2.86,0.26,5.19,0.0,0.0,12,4,1
2005,raiders,22.6,17.75,2.68,8.98,0.0,0.0,0.0,4,0,0
2006,raiders,29.01,20.07,3.56,7.73,0.0,0.08,0.0,2,0,0
2007,raiders,33.61,24.9,3.85,5.66,5.9,0.0,0.0,4,0,0
2008,raiders,36.2,33.36,4.59,10.32,2.44,0.08,0.0,5,0,0
2009,raiders,38.82,42.1,5.19,8.29,6.73,0.14,0.33,5,0,0
2010,raiders,51.33,52.19,7.1,34.12,1.02,0.0,0.0,8,0,0
2011,raiders,42.97,38.74,7.29,0.08,0.23,3.1,0.0,8,0,0
2012,raiders,33.41,53.28,9.17,17.72,11.04,0.0,0.0,4,0,0
2013,raiders,41.38,48.49,5.2,43.32,7.16,0.26,0.0,4,0,0
2014,raiders,42.81,48.6,3.6,13.6,21.44,0.3,0.0,3,0,0
2015,raiders,40.44,45.6,4.21,10.94,15.15,0.0,1.98,7,0,0
2016,raiders,45.15,46.38,6.05,5.43,4.98,0.0,2.38,12,0,0
2017,raiders,55.68,34.6,4.09,2.52,8.99,0.0,0.0,6,0,0
2018,raiders,54.15,25.05,1.88,0.42,18.32,0.0,0.0,4,0,0
2019,raiders,54.15,34.75,0.92,12.15,14.72,0.05,0.9,7,0,0
2005,chargers,36.51,11.15,1.65,2.13,0.0,0.09,0.0,9,0,0
2006,chargers,33.26,17.53,2.6,2.02,0.0,0.0,0.0,14,1,0
2007,chargers,40.35,25.09,3.41,0.39,0.0,0.0,0.0,11,2,0
2008,chargers,41.19,34.64,2.5,1.81,1.04,0.0,0.0,8,1,0
2009,chargers,48.19,33.72,2.61,1.0,0.41,0.0,0.0,13,1,0
2010,chargers,50.87,35.82,3.14,4.3,2.59,0.17,0.0,9,0,0
2011,chargers,63.39,34.71,2.98,1.78,7.58,0.16,0.0,8,0,0
2012,chargers,59.24,41.32,3.89,8.22,17.93,0.0,0.0,7,0,0
2013,chargers,57.59,34.92,4.56,9.89,11.18,0.17,0.0,9,1,0
2014,chargers,49.25,33.0,4.94,0.44,14.05,2.44,0.07,9,0,0
2015,chargers,54.96,39.31,4.23,11.86,22.67,0.0,0.0,4,0,0
2016,chargers,48.88,40.51,1.22,0.01,25.08,0.43,0.28,5,0,0
2017,chargers,44.11,36.38,1.4,0.16,6.8,0.0,0.0,9,0,0
2018,chargers,54.94,41.5,2.14,8.53,9.69,0.0,0.0,12,1,0
2019,chargers,54.26,38.59,0.84,0.28,10.34,0.0,0.0,5,0,0
2005,rams,47.03,9.08,0.1,10.61,0.0,0.0,0.0,6,0,0
2006,rams,45.9,14.43,0.03,7.28,0.44,0.0,0.0,8,0,0
2007,rams,45.5,20.22,0.68,3.59,1.99,0.0,0.0,3,0,0
2008,rams,45.74,20.65,2.36,0.91,5.77,0.02,0.0,2,0,0
2009,rams,55.69,26.31,2.74,17.48,16.1,0.0,0.0,1,0,0
2010,rams,42.92,37.29,3.66,10.37,3.05,0.07,0.0,7,0,0
2011,rams,50.97,30.27,4.25,1.67,0.66,0.24,0.0,2,0,0
2012,rams,53.36,43.61,1.73,11.2,7.39,0.5,0.0,7,0,0
2013,rams,44.42,55.11,1.34,11.88,32.17,0.44,0.0,7,0,0
2014,rams,51.02,46.77,1.59,6.35,23.22,0.4,0.0,6,0,0
2015,rams,38.12,48.44,2.73,0.41,23.69,0.0,0.23,7,0,0
2016,rams,37.99,41.42,2.88,0.08,11.79,0.0,0.0,4,0,0
2017,rams,43.1,51.32,2.45,6.18,6.06,0.0,0.0,11,0,0
2018,rams,39.26,55.55,4.29,9.23,2.44,0.0,0.0,13,3,0
2019,rams,46.86,45.51,3.17,7.17,2.6,0.07,0.0,9,0,0
2005,dolphins,15.21,18.43,2.58,2.11,0.46,0.09,0.0,9,0,0
2006,dolphins,18.41,17.4,2.63,4.92,0.0,0.08,0.0,6,0,0
2007,dolphins,19.92,21.21,2.66,8.29,3.34,0.0,0.0,1,0,0
2008,dolphins,36.18,30.52,2.18,6.61,1.94,0.08,0.0,11,0,0
2009,dolphins,46.26,44.78,1.64,5.93,9.49,0.14,0.0,7,0,0
2010,dolphins,54.91,43.77,2.16,25.58,2.36,0.59,0.0,7,0,0
2011,dolphins,52.48,47.52,2.7,14.2,0.0,0.35,0.0,6,0,0
2012,dolphins,47.6,39.45,4.35,0.19,16.67,0.32,0.0,7,0,0
2013,dolphins,31.7,42.6,2.46,0.84,9.38,3.85,0.0,8,0,0
2014,dolphins,42.7,42.97,3.38,0.08,14.86,1.19,3.35,8,0,0
2015,dolphins,40.03,52.68,1.92,19.92,12.08,0.0,3.44,6,0,0
2016,dolphins,36.28,42.62,1.36,1.84,19.35,0.0,0.0,10,0,0
2017,dolphins,45.11,42.12,1.07,0.7,28.02,0.0,0.0,6,0,0
2018,dolphins,45.28,49.85,0.96,11.33,15.1,0.0,0.0,7,0,0
2019,dolphins,21.89,32.43,0.92,0.01,23.47,0.87,0.0,5,0,0
2005,vikings,41.75,30.27,0.63,9.66,0.0,0.0,0.0,9,0,0
2006,vikings,35.75,28.21,2.14,0.8,1.27,0.08,0.0,6,0,0
2007,vikings,37.79,45.71,6.49,3.39,1.38,0.0,0.0,8,0,0
2008,vikings,49.46,48.0,4.81,10.44,3.98,0.16,0.0,10,0,0
2009,vikings,46.8,51.39,3.58,1.77,4.07,0.14,0.0,12,2,0
2010,vikings,54.66,55.88,3.96,0.57,0.0,0.54,0.0,6,0,0
2011,vikings,44.03,51.58,3.92,2.35,7.4,0.32,0.0,3,0,0
2012,vikings,40.25,44.4,2.51,0.48,2.35,0.39,0.0,10,0,0
2013,vikings,47.29,46.75,1.53,0.5,5.06,0.34,0.0,5,0,0
2014,vikings,50.25,38.82,1.81,0.41,10.78,13.7,0.0,7,0,0
2015,vikings,51.42,38.41,2.31,0.34,12.83,0.0,0.0,11,0,0
2016,vikings,50.11,44.08,1.15,1.02,18.44,0.0,0.0,8,0,0
2017,vikings,39.51,42.51,1.48,1.12,12.96,0.0,0.0,13,2,0
2018,vikings,47.52,50.11,1.86,3.74,5.49,0.0,0.0,8,0,0
2019,vikings,45.02,48.56,1.65,0.02,2.44,0.39,0.0,10,1,0
2005,patriots,26.58,24.79,3.93,0.57,0.31,0.0,0.0,10,1,0
2006,patriots,34.77,21.46,1.0,2.37,0.0,0.0,0.0,12,2,0
2007,patriots,34.15,26.5,1.15,2.73,0.0,0.34,0.0,16,3,0
2008,patriots,45.05,26.21,1.24,5.24,5.41,0.16,0.0,11,0,0
2009,patriots,52.46,25.2,0.91,5.98,0.0,0.21,0.0,10,0,0
2010,patriots,56.25,30.97,2.52,2.43,5.38,0.07,0.0,14,1,0
2011,patriots,47.82,33.39,2.74,4.08,0.69,0.72,0.0,13,3,0
2012,patriots,47.6,39.77,3.37,0.05,5.82,0.94,0.0,12,2,0
2013,patriots,41.1,37.79,3.35,0.09,20.94,0.62,0.0,12,2,0
2014,patriots,50.79,42.14,3.63,13.37,9.01,0.34,0.0,12,4,1
2015,patriots,46.86,33.85,3.57,0.3,16.47,0.8,0.0,12,2,0
2016,patriots,45.68,31.85,4.0,2.15,5.7,0.0,0.0,14,4,1
2017,patriots,48.24,40.9,4.23,0.41,14.72,0.98,0.0,13,3,0
2018,patriots,47.11,40.06,4.36,0.4,4.35,0.0,0.34,11,4,1
2019,patriots,41.09,41.27,2.12,0.01,6.03,0.27,0.0,12,0,0
2005,saints,18.53,22.09,1.84,6.46,0.0,0.0,0.0,3,0,0
2006,saints,33.35,11.78,1.73,3.32,0.0,0.0,0.0,10,2,0
2007,saints,36.93,24.62,2.73,9.68,5.97,0.07,0.0,7,0,0
2008,saints,39.97,31.14,0.85,3.89,3.18,0.09,0.0,8,0,0
2009,saints,47.33,37.82,0.6,3.85,2.38,0.29,0.0,13,4,1
2010,saints,58.78,43.02,1.02,2.47,0.0,0.07,0.0,11,0,0
2011,saints,44.25,37.64,2.06,6.12,0.18,0.0,0.0,13,1,0
2012,saints,49.05,46.55,3.32,4.79,8.45,0.0,4.09,7,0,0
2013,saints,49.53,44.86,3.99,4.67,19.39,0.14,0.0,11,1,0
2014,saints,55.84,39.08,4.3,12.27,10.33,0.29,0.0,7,0,0
